Offense Type,Year,On Campus,Residence Hall,Non-Campus Building or Property,Public Property
Murder Negligent Manslaughter,2013,0,0,0,0
Murder Negligent Manslaughter,2012,0,0,0,0
Murder Negligent Manslaughter,2011,0,0,0,0
Negligent Manslaughter,2013,0,0,0,0
Negligent Manslaughter,2012,0,0,0,0
Negligent Manslaughter,2011,0,0,0,0
Forcible Sex Offenses,2013,0,0,0,0
Forcible Sex Offenses,2012,0,0,0,0
Forcible Sex Offenses,2011,0,0,0,0
Non-Forcible Sex Offenses,2013,0,0,3,0
Non-Forcible Sex Offenses,2012,0,0,0,0
Non-Forcible Sex Offenses,2011,0,0,0,0
Robbery,2013,1,0,2,0
Robbery,2012,1,0,2,0
Robbery,2011,2,0,3,0
Aggravated Assault,2013,0,0,1,0
Aggravated Assault,2012,2,0,2,0
Aggravated Assault,2011,3,0,0,0
Larceny,2013,40,8,9,0
Larceny,2012,47,12,8,0
Larceny,2011,71,21,4,1
Burglary,2013,4,5,7,0
Burglary,2012,23,20,0,0
Burglary,2011,34,31,4,0
Motor Vehicle Theft,2013,0,0,1,0
Motor Vehicle Theft,2012,0,0,0,0
Motor Vehicle Theft,2011,0,0,0,0
Arson,2013,0,0,0,0
Arson,2012,0,0,0,0
Arson,2011,0,0,0,0
