Offense Type,Year,On Campus,Residence Hall,Non-Campus Building or Property,Public Property
Murder Negligent Manslaughter,2013,0,n/a,0,0
Murder Negligent Manslaughter,2012,0,n/a,0,0
Murder Negligent Manslaughter,2011,0,n/a,0,0
Negligent Manslaughter,2013,0,n/a,0,0
Negligent Manslaughter,2012,0,n/a,0,0
Negligent Manslaughter,2011,0,n/a,0,0
Forcible Sex Offenses,2013,0,n/a,0,0
Forcible Sex Offenses,2012,0,n/a,0,0
Forcible Sex Offenses,2011,0,n/a,0,0
Non-Forcible Sex Offenses,2013,0,n/a,0,0
Non-Forcible Sex Offenses,2012,0,n/a,0,0
Non-Forcible Sex Offenses,2011,0,n/a,0,1
Robbery,2013,0,n/a,0,0
Robbery,2012,0,n/a,0,0
Robbery,2011,0,n/a,0,0
Aggravated Assault,2013,0,n/a,0,0
Aggravated Assault,2012,0,n/a,0,0
Aggravated Assault,2011,0,n/a,0,0
Larceny,2013,0,n/a,0,0
Larceny,2012,0,n/a,0,0
Larceny,2011,0,n/a,0,0
Burglary,2013,0,n/a,0,0
Burglary,2012,0,n/a,0,0
Burglary,2011,0,n/a,0,0
Motor Vehicle Theft,2013,0,n/a,0,0
Motor Vehicle Theft,2012,0,n/a,0,0
Motor Vehicle Theft,2011,0,n/a,0,0
Arson,2013,0,n/a,0,0
Arson,2012,0,n/a,0,0
Arson,2011,0,n/a,0,0
