Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,,,,,,
,F ,,,,,,
10--14,M ,1,,,,,1
,F ,,,,,,
15-19 ,M ,1,31,,,,32
,F ,4,5,,,,9
20-24 ,M ,22,58,,,,80
,F ,7,7,,,,14
25-29 ,M ,16,39,,,,55
,F ,6,8,,,,14
30-34 ,M ,11,21,,,,32
,F ,1,2,,,,3
35-39 ,M ,10,10,,,,20
,F ,3,2,,,,5
40-44 ,M ,11,6,,1,,18
,F ,1,3,,,,4
45-49 ,M ,9,6,,,,15
,F ,,1,,,,1
50-54 ,M ,4,4,,,,8
,F ,1,2,,,,3
,,1,,,,,1
55-59 ,M ,7,3,,1,,11
,F ,1,,,,,1
60-64 ,M ,5,6,,,,11
,F ,,,,,,
65 & Over ,M ,2,,,,,2
,F ,,,,,,
Unknown ,M ,0,14,,,2,16
,F ,,2,,,,2
,U ,,,,,20,20
,M ,99,198,,2,2,301
TOTAL ,F ,24,32,,,,56
,U ,1,,,,20,21
