,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter ,15,19,27,27,17,19,11,71,32,23,18,10,10,5,9,3,316
Negligent Manslaughter ,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4
Kidnaping/Abduction ,29,43,36,55,66,49,47,212,195,116,72,66,59,22,15,13,1095
Forcible Rape ,16,17,22,10,19,12,11,36,40,31,22,21,13,10,10,8,298
Forcible Sodomy ,5,1,4,6,3,10,2,20,15,18,12,11,13,6,4,5,135
Sexual Assault with an Object ,2,3,2,3,3,3,1,19,15,11,10,8,12,3,2,5,102
Forcible Fondling ,16,15,11,9,10,9,13,68,56,52,59,45,38,31,33,34,499
Robbery ,163,182,138,112,82,80,64,239,155,79,52,50,20,16,4,2,1438
Aggravated Assault ,157,177,170,192,208,189,184,791,551,417,320,318,239,139,48,55,4155
Simple Assault ,871,951,1115,1299,1302,1333,1225,5507,4532,3313,2892,2566,1981,1072,527,453,30939
Intimidation ,38,30,54,39,43,48,31,165,174,89,89,111,85,38,25,20,1079
Arson ,13,7,9,3,8,4,1,19,19,12,8,5,9,6,4,1,128
Extortion/Blackmail ,0,2,3,1,4,1,0,11,4,5,3,4,2,0,1,0,41
Burglary/Breaking and Entering ,291,287,275,221,192,155,120,632,450,228,159,131,99,34,18,9,3301
Pocket Picking ,20,24,17,20,20,20,10,59,29,19,21,25,18,9,4,1,316
Purse Snatching ,0,1,0,1,0,1,0,2,2,2,1,2,2,1,0,0,15
Shoplifting ,1133,958,816,700,629,592,535,2147,1698,1184,1032,888,711,403,181,155,13762
Theft from Building ,58,49,36,61,50,49,39,147,124,64,64,45,33,13,6,8,846
Theft from Coin-Operated Machine or Device ,1,1,0,0,1,1,1,5,5,1,0,1,2,2,0,1,22
Theft from Motor Vehicle ,41,21,17,18,24,33,9,45,28,21,13,22,9,5,1,0,307
Theft of Motor Vehicle Parts ,4,6,4,3,4,2,8,16,8,9,10,9,8,1,1,0,93
All Other Larceny ,851,848,718,666,585,579,558,2074,1684,1128,970,883,706,397,145,118,12910
Motor Vehicle Theft ,62,50,33,31,27,31,26,136,94,74,61,53,26,16,12,1,733
Counterfeiting/Forgery ,55,98,102,80,78,106,74,359,313,203,169,146,88,47,19,7,1944
False Pretenses/Swindle/Confidence Game ,74,83,127,117,89,122,121,572,457,331,327,224,185,102,51,35,3017
Credit Card/Automatic Teller Machine Fraud ,10,13,14,19,24,24,19,112,85,55,33,21,26,9,3,0,467
Impersonation ,33,40,52,45,50,40,38,167,138,100,61,56,34,15,2,7,878
Welfare Fraud ,0,1,0,0,0,3,0,18,13,23,11,9,4,2,4,0,88
Wire Fraud ,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,5
Embezzlement ,91,80,102,102,79,75,66,218,189,141,116,110,76,42,12,12,1511
Stolen Property Offenses ,64,48,57,51,38,44,42,148,98,60,55,46,49,17,6,2,825
Destruct/Damage/Vandalism ,220,194,199,193,201,195,156,612,424,272,168,189,146,84,34,36,3323
Drug/Narcotic Violations ,2551,2781,2712,2667,2339,2112,1947,6918,4637,2776,1920,1617,1189,642,251,146,37205
Drug Equipment Violations ,29,27,32,31,23,33,28,109,85,39,33,13,9,4,2,1,498
Incest,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,5
Statutory Rape ,14,18,10,6,5,7,2,11,2,2,1,1,0,0,0,0,79
Porno./Obscene Material ,6,11,11,6,7,4,6,34,24,21,19,18,8,10,4,10,199
Betting/Wagering ,5,4,1,1,0,0,0,6,6,1,3,4,4,2,2,0,39
Operating/Promoting/Assisting Gambling ,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,0,9
Gambling Equip. Violations ,0,0,0,0,0,0,1,0,0,0,2,0,2,2,0,0,7
Sports Tampering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostitution ,4,13,18,13,21,22,15,78,90,50,50,43,20,9,6,3,455
Assisting/Promoting Prostitution ,4,10,10,20,14,19,16,75,68,58,37,26,15,15,5,3,395
Bribery,0,1,0,2,0,2,3,1,1,1,2,0,0,0,0,0,13
Weapon Law Violations ,142,142,114,219,176,192,157,594,385,255,228,172,163,105,73,82,3199
TOTAL ,7088,7258,7068,7050,6442,6221,5587,22454,16930,11287,9125,7970,6116,3337,1526,1236,126695
