Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
"Alcoholic Bev. Control, Dept.",125,102,23,37
"Capitol Police, Division",75,65,10,14
Central State Hospital,16,15,1,1
"Conservation & Rec., Dept.",97,89,8,129
"Game & Inland Fisheries, Dept",164,154,10,15
"Motor Vehicles, Dept.",69,61,8,15
"Virginia State Police, Dept.",2025,1914,111,725
Metro. Wash.Airport Auth.,212,172,40,101
Norfolk Airport Authority,37,31,6,7
Richmond Int'l Airport,28,24,4,9
Virginia Port Authority,27,23,4,11
OTHER AGENCY TOTAL,2875,2650,225,1064
