Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport U. PD,19,16,3,5
Eastern VA Medical Sch. PD,20,19,1,29
Emory & Henry College PD,2,2,0,2
Ferrum College PD,9,8,1,0
George Mason Univ. PD,45,39,6,22
Hampton University PD,31,28,3,23
James Madison Univ. PD,31,29,2,10
J Sargeant Reynolds C.C. PD,14,10,4,9
Longwood University PD,15,15,0,7
Lord Fairfax C.C. PD,2,2,0,0
Norfolk State University PD,21,15,6,15
Northern Virginia C.C. PD,48,43,5,12
Old Dominion University PD,46,38,8,8
Radford University PD,20,17,3,10
Richard Bland College PD,4,4,0,0
Thomas Nelson College PD,9,7,2,4
U. of Mary Washington PD,16,14,2,6
University of Richmond PD,20,18,2,13
University of Virginia PD,50,39,11,73
UVA's College at Wise PD,9,8,1,1
Va. Commonwealth U. PD,84,70,14,42
Va. Military Institute PD,9,8,1,1
Virginia State University PD,20,13,7,15
Virginia Tech University PD,49,41,8,20
Virginia Western C.C. PD,9,9,0,0
William & Mary College PD,21,19,2,6
COLLEGE AND UNIVERSITY TOTAL,623,531,92,333
