OTHER AGENCIES,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
"Alcoholic Beverage Control, Department of ",,,151,0,0,0,0,0,0,14,0,0,0,36,0,33,19,5,0,0,51,0,0,1,0,0,3
"Capitol Police, Division of ",,,88,0,0,0,0,0,0,14,0,0,0,28,0,0,3,2,1,44,4,0,0,0,0,0,0
Central State Hospital ,,,59,0,0,0,0,0,1,43,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0
"Conservation & Recreation, Department of ",,,62,0,0,0,0,0,0,3,0,0,2,40,0,0,0,0,0,4,13,0,0,0,0,0,2
"Game & Inland Fisheries, Department of ",,,422,0,2,0,0,0,1,5,0,0,0,8,2,1,19,0,0,11,146,0,0,0,0,0,253
"Motor Vehicles, Department of ",,,439,0,0,0,0,0,0,0,0,0,0,7,19,263,155,41,26,0,3,0,0,0,0,3,0
Metropolitan Washington Airports Authority ,,,1017,0,0,0,0,0,3,46,0,0,1,350,49,22,7,0,4,130,36,0,0,0,0,0,381
Norfolk Airport Authority ,,,55,0,0,0,1,0,0,1,0,0,0,35,1,0,0,0,0,8,0,0,0,0,0,0,9
Richmond International Airport ,,,38,0,0,0,0,0,0,1,0,0,0,13,9,0,4,0,0,6,2,0,0,0,0,0,4
Virginia Port Authority ,,,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
