Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,5,3,,1,,9
,F ,3,5,,,,8
10--14,M ,1,1,,,,2
,F ,,,,,,
15-19 ,M ,6,18,,,,24
,F ,,2,,,,2
20-24 ,M ,8,39,,,,47
,F ,2,5,,,,7
25-29 ,M ,7,32,,,,39
,F ,3,7,,,,10
30-34 ,M ,7,16,,,,23
,F ,3,1,,,,4
35-39 ,M ,8,13,,1,1,23
,F ,3,2,,1,,6
40-44 ,M ,2,9,,,,11
,F ,5,4,,,,9
45-49 ,M ,9,6,,,,15
,F ,5,3,,,,8
50-54 ,M ,9,4,,,,13
,F ,3,1,,,,4
55-59 ,M ,4,7,,,,11
,F ,6,1,,,,7
60-64 ,M ,2,2,,1,,5
,F ,3,,,,,3
65 & Over ,M ,9,2,,,,11
,F ,5,1,,,,6
Unknown ,M ,5,1,,,,6
,F ,,1,,,,1
,U ,,,,,3,3
TOTAL ,M ,82,153,,3,1,239
,F ,41,33,,1,,75
,U ,,,,,3,3
