Relationship of Victim to Offender (may include multiple relationships),Total
Spouse,105
Common-Law Spouse,5
Parent,9
Sibling,172
Child,255
Grandparent,3
Grandchild,94
In-Law,12
Stepparent,26
Stepchild,130
Stepsibling,42
Other Family Member,397
Acquaintance,1088
Friend,272
Neighbor,96
Babysittee (the baby),44
Boyfriend/Girlfriend,201
Child of Boyfriend/Girlfriend,47
Homosexual Relationship,13
Ex-Spouse,11
Employee,22
Employer,11
Otherwise Known,451
Stranger,272
Unknown,743
Not Reported,367
Total,4888
