Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian,
COUNTY,,,,,
ACCOMACK COUNTY,,,,,
Sheriff's Office,58,51,7,11,
Chincoteague PD,10,9,1,4,
Onancock PD,5,4,1,0,
Parksley PD,3,3,0,0,
Onley PD,3,3,0,0,
Bloxom PD,1,1,0,0,
ALBEMARLE COUNTY,,,,,
Albemarle County PD,121,108,13,28,
ALLEGHANY COUNTY,,,,,
Sheriff's Office,43,37,6,19,
AMELIA COUNTY,,,,,
Sheriff's Office,17,17,0,10,
AMHERST COUNTY,,,,,
Sheriff's Office,46,41,5,4,
Amherst PD,5,5,0,0,
APPOMATTOX COUNTY,,,,,
Sheriff's Office,21,19,2,1,
ARLINGTON COUNTY,,,,,
Arlington County PD,352,293,59,68,
AUGUSTA COUNY,,,,,
Sheriff's Office,66,61,5,11,
BATH COUNTY,,,,,
Sheriff's Office,12,12,0,0,
BEDFORD COUNTY,,,,,
Sheriff's Office,83,77,6,8,
BLAND COUNTY,,,,,
Sheriff's Office,10,10,0,6,
BOTETOURT COUNTY,,,,,
Sheriff's Office,93,80,13,21,
BRUNSWICK COUNTY,,,,,
Sheriff's Office,25,23,2,13,
Lawrenceville PD,6,6,0,0,
BUCHANAN COUNTY,,,,,
Sheriff's Office,34,30,4,13,
Grundy PD,6,6,0,0,
BUCKINGHAM COUNTY,,,,,
Sheriff's Office,17,17,0,7,
CAMPBELL COUNTY,,,,,
Sheriff's Office,59,55,4,9,
Altavista PD,12,12,0,1,
Brookneal PD,1,1,0,0,
CAROLINE COUNTY,,,,,
Sheriff's Office,50,42,8,21,
Bowling Green PD,,,,,
CARROLL COUNTY,,,,,
Sheriff's Office,35,33,2,6,
Hillsville PD,13,13,0,1,
CHARLES CITY COUNTY,,,,,
Sheriff's Office,11,10,1,7,
CHARLOTTE COUNTY,,,,,
Sheriff's Office,33,26,7,2,
CHESTERFIELD COUNTY,,,,,
Chesterfield County PD,485,438,47,104,
CLARKE COUNTY,,,,,
Sheriff's Office,16,15,1,12,
Berryville PD,9,9,0,1,
CRAIG COUNTY,,,,,
Sheriff's Office,9,9,0,5,
CULPEPER COUNTY,,,,,
Sheriff's Office,83,71,12,16,
Culpeper PD,42,37,5,8,
CUMBERLAND COUNTY,,,,,
Sheriff's Office,16,14,2,6,
DICKENSON COUNTY,,,,,
Sheriff's Office,20,19,1,10,
Clintwood PD,4,4,0,0,
Haysi PD,2,2,0,0,
DINWIDDIE COUNTY,,,,,
Sheriff's Office,38,36,2,3,
ESSEX COUNTY,,,,,
Sheriff's Office,13,11,2,6,
Tappahannock PD,10,10,0,1,
FAIRFAX COUNTY,,,,,
Fairfax County PD,1327,1157,170,271,
Herndon PD,55,50,5,15,
Vienna PD,40,35,5,11,
FAUQUIER COUNTY,,,,,
Sheriff's Office,119,111,8,42,
Remington PD,1,1,0,0,
Warrenton PD,20,18,2,2,
FLOYD COUNTY,,,,,
Sheriff's Office,19,17,2,10,
FLUVANNA COUNTY,,,,,
Sheriff's Office,30,25,5,13,
FRANKLIN COUNTY,,,,,
Sheriff's Office,70,62,8,7,
Rocky Mount PD,20,19,1,2,
FREDERICK COUNTY,,,,,
Sheriff's Office,111,100,11,15,
Middletown PD,2,2,0,0,
Stephens City PD,4,4,0,0,
GILES COUNTY,,,,,
Sheriff's Office,28,27,1,11,
Glen Lyn PD,1,1,0,0,
Pearisburg PD,7,7,0,0,
Pembroke PD,2,2,0,0,
Rich Creek PD,1,1,0,0,
Narrows PD,5,5,0,0,
GLOUCESTER COUNTY,,,,,
Sheriff's Office,80,70,10,16,
GOOCHLAND COUNTY,,,,,
Sheriff's Office,31,28,3,10,
GRAYSON COUNTY,,,,,
Sheriff's Office,23,22,1,6,
Independence PD,2,2,0,0,
GREENE COUNTY,,,,,
Sheriff's Office,21,18,3,3,
GREENSVILLE COUNTY,,,,,
Sheriff's Office,22,20,2,13,
HALIFAX COUNTY,,,,,
Sheriff's Office,31,30,1,7,
Halifax PD,4,4,0,0,
South Boston PD,28,25,3,3,
HANOVER COUNTY,,,,,
Sheriff's Office,213,198,15,16,
Ashland PD,24,22,2,3,
HENRICO COUNTY,,,,,
Henrico County PD,606,547,59,171,
HENRY COUNTY,,,,,
Sheriff's Office,115,104,11,13,
HIGHLAND COUNTY,,,,,
Sheriff's Office,7,7,0,5,
ISLE OF WIGHT COUNTY,,,,,
Sheriff's Office,47,40,7,3,
Smithfield PD,20,18,2,4,
Windsor PD,6,6,0,0,
JAMES CITY COUNTY,,,,,
James City County PD,91,74,17,6,
KING & QUEEN COUNTY,,,,,
Sheriff's Office,10,10,0,7,
KING GEORGE COUNTY,,,,,
Sheriff's Office,28,25,3,14,
KING WILLIAM COUNTY,,,,,
Sheriff's Office,21,20,1,11,
West Point PD,9,8,1,1,
LANCASTER COUNTY,,,,,
Sheriff's Office,29,24,5,6,
Kilmarnock PD,4,2,2,0,
White Stone PD,2,2,0,0,
LEE COUNTY,,,,,
Sheriff's Office,35,28,7,0,
Jonesville PD,2,2,0,0,
Pennington Gap PD,5,5,0,0,
LOUDOUN COUNTY,,,,,
Sheriff's Office,511,440,71,111,
Leesburg PD,84,79,5,16,
Middleburg PD,6,5,1,0,
Purcellville PD,14,12,2,1,
LOUISA COUNTY,,,,,
Sheriff's Office,48,45,3,15,
Louisa PD,5,4,1,0,
LUNENBURG COUNTY,,,,,
