Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,141
Common-Law Spouse,12
Parent,26
Sibling,13
Child,94
Grandparent,0
Grandchild,18
In-Law,4
Stepparent,3
Stepchild,4
Stepsibling,2
Other Family Member,35
Victim Was Offender,11
Acquaintance,226
Friend,46
Neighbor,12
Babysittee (the baby),1
Boyfriend/Girlfriend,421
Child of Boyfriend/Girlfriend,13
Homosexual Relationship,9
Ex-Spouse,14
Employee,6
Employer,4
Otherwise Known,120
Relationship Unknown,359
Victim Was Stranger,263
