Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter,299,27,0.3,0.07
Negligent Manslaughter,2,2,0,0
Kidnaping/Abduction,1040,97,1.05,0.24
Forcible Rape  ,329,4,0.33,0.01
Forcible Sodomy,193,4,0.2,0.01
Sexual Assault with an Object,112,12,0.11,0.03
Forcible Fondling  ,592,19,0.6,0.05
Robbery,1539,174,1.56,0.42
Aggravated Assault  ,3420,1022,3.46,2.49
Simple Assault,23230,11170,23.52,27.24
Intimidation,959,290,0.97,0.71
Arson,168,34,0.17,0.08
Extortion/Blackmail,38,13,0.04,0.03
Burglary/Breaking & Entering,3423,501,3.47,1.22
Pocket Picking,251,97,0.25,0.24
Purse Snatching,10,8,0.01,0.02
Shoplifting,6959,8434,7.05,20.57
Theft from Building,709,320,0.72,0.78
Theft from Coin-Operated Machine or Device,18,4,0.02,0.01
Theft from Motor Vehicle,333,45,0.34,0.11
Theft of Motor Vehicle Parts or Accessories,87,10,0.09,0.02
All Other Larceny  ,9221,5432,9.34,13.25
Motor Vehicle Theft  ,697,162,0.71,0.4
Counterfeiting/Forgery  ,1270,705,1.29,1.72
False Pretenses/Swindle/Confidence Game  ,1990,1087,2.02,2.65
Credit Card/Automatic Teller Machine Fraud,284,223,0.29,0.54
Impersonation,687,224,0.7,0.55
Welfare Fraud,16,72,0.02,0.18
Wire Fraud  ,2,3,0,0.01
Embezzlement,732,795,0.74,1.94
Stolen Property Offenses  ,777,177,0.79,0.43
Destruction/Damage/Vandalism of Property  ,3205,951,3.25,2.32
Drug/Narcotic Violations  ,31833,7952,32.23,19.39
Drug Equipment Violations,351,169,0.36,0.41
Incest,3,2,0,0
Statutory Rape,84,2,0.09,0
Pornography/Obscene Material,215,21,0.22,0.05
Betting/Wagering,36,5,0.04,0.01
Operating/Promoting/Assisting Gambling,9,0,0.01,0
Gambling Equipment Violations  ,5,2,0.01,0
Sports Tampering  ,0,0,0,0
Prostitution  ,124,334,0.13,0.81
Assisting or Promoting Prostitution  ,261,134,0.26,0.33
Bribery,9,4,0.01,0.01
Weapon Law Violations  ,3233,267,3.27,0.65
TOTAL,98755,41010,100,100
