Name: “Table 1 of 1 on page 27 of 117”,Name: “Table 1 of 1 on page 27 of 117”,Name: “Table 1 of 1 on page 27 of 117”,Name: “Table 1 of 1 on page 27 of 117”,Name: “Table 1 of 1 on page 27 of 117”,Name: “Table 1 of 1 on page 27 of 117”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,
,,,Guidelines Compliance,Guidelines Compliance,
Compliance in the first year for the newly added offense of maiming as a result of,Compliance in the first year for the newly added offense of maiming as a result of,Compliance in the first year for the newly added offense of maiming as a result of,,,
"driving intoxicated was 56%, with a greater tendency to go above the guidelines","driving intoxicated was 56%, with a greater tendency to go above the guidelines","driving intoxicated was 56%, with a greater tendency to go above the guidelines",,,
recommendation (33% aggravation) than below (11% mitigation).,recommendation (33% aggravation) than below (11% mitigation).,The compliance,,,
rate for this crime was lower than expected.,"The lower compliance rate, in part, may","The lower compliance rate, in part, may",,,
"be due to the low number of convictions, only nine in FY2013. The Commission will","be due to the low number of convictions, only nine in FY2013. The Commission will","be due to the low number of convictions, only nine in FY2013. The Commission will",,,
continue to monitor sentencing patterns for these offenses and recommend,continue to monitor sentencing patterns for these offenses and recommend,continue to monitor sentencing patterns for these offenses and recommend,,,
"modifications, if needed.",,,,,
"Since 1995, departure patterns have differed across offense groups, and FY2013 was","Since 1995, departure patterns have differed across offense groups, and FY2013 was","Since 1995, departure patterns have differed across offense groups, and FY2013 was",,,
no exception.,"During this time period, the rape and burglary of a dwelling offense","During this time period, the rape and burglary of a dwelling offense",,,
groups showed the highest mitigation rates with nearly one-quarter of the rape cases,groups showed the highest mitigation rates with nearly one-quarter of the rape cases,groups showed the highest mitigation rates with nearly one-quarter of the rape cases,,,
"(23%), and nearly one-fifth of the burglary of a dwelling cases (19.8%) resulting in","(23%), and nearly one-fifth of the burglary of a dwelling cases (19.8%) resulting in","(23%), and nearly one-fifth of the burglary of a dwelling cases (19.8%) resulting in",,,
sentences below the guidelines.,This mitigation pattern has been consistent with rape,This mitigation pattern has been consistent with rape,,,
offenses since the abolition of parole in 1995.,offenses since the abolition of parole in 1995.,The most frequently cited mitigation,,,
"reasons provided by judges in rape cases include plea agreement, procedural issues,","reasons provided by judges in rape cases include plea agreement, procedural issues,","reasons provided by judges in rape cases include plea agreement, procedural issues,",,,
"victim's request and offender issues, including health issues. The most frequently cited","victim's request and offender issues, including health issues. The most frequently cited","victim's request and offender issues, including health issues. The most frequently cited",,,
mitigation reasons provided by judges in burglary of a dwelling cases included: the,mitigation reasons provided by judges in burglary of a dwelling cases included: the,mitigation reasons provided by judges in burglary of a dwelling cases included: the,,,
"acceptance of a plea agreement, the utilization of alternative sentences and judicial","acceptance of a plea agreement, the utilization of alternative sentences and judicial","acceptance of a plea agreement, the utilization of alternative sentences and judicial",,,
discretion.,,,,,
,Figure 7,,,,
"In FY2013, the offense groups with",,,,,
,Guidelines Compliance by Offense - FY2013,Guidelines Compliance by Offense - FY2013,,,
the highest aggravation rates were,,,,,
"murder/homicide, at 24% and",,,,,
,,Compliance,Mitigation,Aggravation,Number of Cases
"sexual assault, at 20%. As the most",,,,,
,Fraud,84.4%,9.5%,6.1%,"2,206"
frequently cited aggravating,,,,,
,Drug Other,83.2%,6.7%,10.0%,"1,456"
departure reasons in murder/,,,,,
"homicide cases, facts of the case, the",Larceny,82.7%,9.0%,8.4%,"5,904"
influence of jury trials and extreme,Drug Schedule I/II,80.8%,10.7%,8.5%,"6,443"
case circumstances have historically,Traffic,79.1%,8.9%,12.1%,"1,728"
contributed to higher aggravation,Miscellaneous Other,77.4%,12.9%,9.7%,403
rates. The most frequently cited,Burglary Other,75.8%,10.8%,13.4%,529
aggravating departure reasons in,Misc. Person/Property,74.8%,8.5%,16.7%,437
sexual assault cases in FY2013,Weapon,74.5%,12.7%,12.8%,600
included the acceptance of a plea,Assault,73.8%,14.7%,11.5%,"1,442"
"agreement, the flagrancy of the",Kidnapping,69.1%,12.2%,18.7%,123
offense and the type of victim,,,,,
,Sex Assault,68.0%,12.0%,20.1%,593
involved (such as a child).,,,,,
,Murder,66.4%,9.7%,23.9%,226
,Robbery,65.6%,24.4%,9.9%,745
,Burglary Dwelling,65.0%,19.8%,15.2%,"1,159"
,Rape,61.9%,22.7%,15.3%,176
,Total,78.9%,11.1%,10.1%,"24,170"
,,,,,27
