Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”,Name: “Table 1 of 1 on page 92 of 117”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Criminal Sentencing Commission,Virginia Criminal Sentencing Commission,Virginia Criminal Sentencing Commission,Virginia Criminal Sentencing Commission,Virginia Criminal Sentencing Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013 Annual Report,2013 Annual Report,2013 Annual Report,2013 Annual Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,Section A of the sentencing guidelines determines if an offender will be,,,,,
,,,,,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of,recommended for probation or jail up to six months (Section B) or incarceration of
,,,,,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,more than six months (Section C).,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,To more closely reflect the actual rate of,,,,
,,,,,"incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section","incarceration for this type of offense, the Commission recommends modifying Section"
,,,,,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,A (Part II) of the Other Sexual Assault worksheet as shown in Figure 56.,,,,,
