Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”,Name: “Table 1 of 1 on page 109 of 117”
Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107
,,,,,,,,,,
Appendix 1,,,,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,,,,,
"Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses",,,,,,,,,
,Burg. of,Burg. Other,Sch. I/II,Other,,,Misc,Misc,,
,Dwelling,Structure,Drugs,Drugs,Fraud,Larceny,Oth,P&P,Traffic,Weapon
Reasons for AGGRAVATION,(N=176),(N=71),(N=549),(N=146),(N=135),(N=494),(N=39) (N=73),(N=39) (N=73),(N=209) (N=77),(N=209) (N=77)
Plea agreement,40,19,148,40,37,111,13,14,31,33
No reason given,35,12,152,39,33,127,11,12,43,14
Aggravating circumstances/flagrancy of offense,28,13,43,9,11,61,3,23,32,7
Offender has extensive prior record,25,11,68,20,17,77,7,3,58,6
Offender has poor rehabilitation potential,15,2,27,8,12,15,1,8,24,1
Number of violations/counts in the event,7,5,42,13,6,21,3,3,6,15
Guidelines recommendation is too low,14,4,15,15,9,26,4,4,8,3
Jury sentence,6,1,9,2,6,15,1,3,13,7
"Type of victim (child, etc.)",5,2,0,3,9,16,0,10,2,0
Offender is sentenced to an alternative punishment,5,6,35,6,3,27,0,1,8,0
Offense involved a degree of planning/violation of trust,5,4,2,2,10,39,0,1,0,0
Current offense involves drugs/alcohol (large amount),0,1,27,18,0,1,0,4,22,0
Judicial discretion,6,6,16,7,3,13,1,4,2,0
"Degree of victim injury (physical, emotional, etc.)",0,0,4,2,0,3,0,7,6,0
Extreme property or monetary loss,2,1,2,1,5,47,0,0,1,0
Offender's substance abuse issues,2,1,18,2,1,7,1,1,11,0
Poor conduct since commission of offense,1,2,12,1,2,8,0,0,2,0
"Victim circumstances (facts of the case, etc.)",10,2,0,1,1,1,1,2,0,0
Offender needs rehabilitation offered by jail/prison,1,0,11,1,2,4,0,0,5,1
Aggravating court circumstances/proceedings,5,1,8,3,0,5,1,0,2,0
True offense behavior was serious,1,0,6,1,0,4,0,1,1,1
Sentence recommended by Commonwealth Attorney,2,1,8,2,1,4,0,1,1,1
Offender used a weapon in commission of the offense,6,2,3,0,0,8,0,1,0,4
Prior record not adequately weighed by guidelines,2,0,7,1,1,7,0,0,0,2
Seriousness of offense,2,0,2,0,1,4,0,1,0,2
Victim request,5,0,0,0,2,0,0,2,2,0
Violent/disruptive behavior in custody,0,1,4,3,3,4,3,0,0,0
Current offense involves accident/reckless driving,0,0,1,0,0,0,0,1,13,0
Offender failed alternative sanction program,0,0,15,3,1,1,0,0,1,0
Sentencing guidelines not appropriate,1,0,4,1,0,2,1,1,1,0
Degree of violence toward victim,0,0,1,0,0,2,0,1,0,0
Aggravating facts involving the breaking and entering,10,1,0,0,0,1,0,2,0,0
Mandatory minimum involved in event,2,1,1,1,1,1,0,1,5,1
"Offender issues (age, lacks family support, etc.)",1,2,4,1,1,3,0,0,3,0
"Used, etc., drugs/alcohol while on probation",0,1,13,0,1,1,0,0,0,0
Failed to follow instructions while on probation,2,0,5,0,2,2,0,0,1,0
Child present at time of offense,0,0,4,0,0,2,0,6,2,0
Absconded from probation supervision,0,0,7,0,0,1,2,1,2,0
Offender failed to cooperate with authorities,1,1,3,0,0,3,0,0,3,0
Committed offense while on probation,0,0,7,1,0,1,0,0,0,0
Facts of sex offense involved,0,0,0,0,0,0,0,0,0,0
Judge thought sentence was in compliance,0,0,0,1,1,1,0,0,0,4
Offender was the leader,1,0,1,1,1,1,0,0,0,0
"Financial obligations (court costs, child support, etc.)",2,0,1,0,1,2,0,0,0,0
Offender violated protective order or was stalking,3,0,0,0,0,0,0,1,0,0
Illegible written reason,0,0,3,0,0,1,0,0,0,0
Gang-related offense,2,0,0,0,0,0,0,1,0,0
Multiple offenses in the sentencing event,0,0,0,1,1,2,0,0,0,0
Sentenced to an alternative,0,0,0,1,0,2,0,0,0,0
Judge rounded guidelines minimum to nearest whole year,0,2,1,0,0,0,0,0,0,0
Offender never reported for probation supervision,0,0,1,0,2,0,0,0,0,0
Note:,Figures indicate the number of times a departure reason was cited.,Figures indicate the number of times a departure reason was cited.,,,,,,,109,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,,,,
