Name: “Table 1 of 1 on page 6 of 117”,Name: “Table 1 of 1 on page 6 of 117”,Name: “Table 1 of 1 on page 6 of 117”
Table: 6,Table: 6,Table: 6
,,
3,Immediate Sanction Probation Pilot Program,
,Introduction,47
,Key Features and Stakeholders,50
,Design of Virginia’s Immediate Sanction Probation Program,51
,Identifying Higher Risk Probationers,52
,Candidate Review Hearing,54
,Official Warning,54
,Participant Supervision,56
,Violations while Participating in the Program,56
,Expedited Hearings for Violations,57
,Access to Defense Counsel,58
,Jail Time for Violations,58
,Substance Abuse Treatment,59
,Removal from Program,59
,Successful Completion,59
,Program Implementation,60
,Selection of Pilot Sites,60
,Implementation Support,61
,Supervision and Drug Testing,62
,Defense Counsel,63
,Court Processes,63
,Law Enforcement,64
,Implementation Challenges,64
,"Characteristics of Program Participants, Violations and Sanctions",71
,Upcoming Activites,76
4,Recommendations of the Commission,
,Introduction,79
,Recommendation 1,80
,Recommendation 2,89
,Recommendation 3,96
,Recommendation 4,97
,Recommendation 5,100
,Recommendation 6,103
,Appendices,107
