Name: “Table 1 of 1 on page 110 of 117”,Name: “Table 1 of 1 on page 110 of 117”,Name: “Table 1 of 1 on page 110 of 117”,Name: “Table 1 of 1 on page 110 of 117”,Name: “Table 1 of 1 on page 110 of 117”,Name: “Table 1 of 1 on page 110 of 117”,Name: “Table 1 of 1 on page 110 of 117”,Name: “Table 1 of 1 on page 110 of 117”,Name: “Table 1 of 1 on page 110 of 117”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,
Appendix 2,,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,,
Offenses Against the Person,Offenses Against the Person,,,,,,,
,,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual,Assault
Reasons for MITIGATION,,(N=212),(N=22),(N=15),(N=182),(N=40),(N=71),(N=71)
Plea Agreement,,83,7,4,66,21,32,32
No Reason Given,,39,1,1,22,0,3,3
Judicial discretion,,14,0,1,10,2,10,10
Offender is sentenced to an alternative punishment,Offender is sentenced to an alternative punishment,7,0,0,6,1,1,1
Offender cooperated with authorities,Offender cooperated with authorities,2,1,1,38,1,6,6
Facts of the case (not specific),Facts of the case (not specific),22,1,3,13,4,10,10
Court Circumstances or Procedural Issues,Court Circumstances or Procedural Issues,12,1,1,15,9,6,6
Offender has minimal/no prior record,Offender has minimal/no prior record,10,1,2,20,2,9,9
Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,13,1,3,15,1,6,6
"Offender health (mental, physical, emotional, etc.)","Offender health (mental, physical, emotional, etc.)",17,0,3,4,4,1,1
Offender has good potential for rehabilitation,Offender has good potential for rehabilitation,7,0,1,11,0,3,3
Offender has made progress in rehabilitating him/herself,Offender has made progress in rehabilitating him/herself,4,0,0,5,0,3,3
"Offender issues (age of offender, family issues, etc.)","Offender issues (age of offender, family issues, etc.)",5,1,1,9,5,4,4
Victim request,,14,0,2,2,5,5,5
Victim cannot/will not testify,Victim cannot/will not testify,16,0,1,3,4,8,8
"Financial obligations (court costs, child support, etc.)","Financial obligations (court costs, child support, etc.)",2,0,0,0,0,1,1
Offender not the leader,,2,2,1,12,0,0,0
Judge had an issue scoring,guidelines factors,2,1,0,1,0,0,0
Sentenced to Department of Juvenile Justice,Sentenced to Department of Juvenile Justice,6,0,0,17,3,1,1
Jury sentence,,3,7,0,2,4,4,4
Current offense involves drugs/alcohol (small amount.),Current offense involves drugs/alcohol (small amount.),0,0,0,1,0,1,1
Behavior positive since commission of the offense,Behavior positive since commission of the offense,0,1,0,3,0,0,0
Sentencing guidelines incorrect/missing,Sentencing guidelines incorrect/missing,1,0,0,1,0,0,0
Offender needs rehabilitation,Offender needs rehabilitation,1,0,0,1,0,1,1
Guidelines recommendation is too harsh,Guidelines recommendation is too harsh,3,0,0,1,0,1,1
"Victim circumstances (drug dealer, etc.)","Victim circumstances (drug dealer, etc.)",6,0,0,0,0,0,0
Minimal property or monetary loss,Minimal property or monetary loss,0,0,0,1,0,0,0
Offender's substance abuse issues,Offender's substance abuse issues,0,0,0,1,0,0,0
Victim's role in the offense,,11,0,1,0,0,2,2
Illegible written reason,,1,0,0,1,0,0,0
Sentencing guidelines recommendation not appropriate,Sentencing guidelines recommendation not appropriate,0,0,0,0,0,1,1
Multiple charges/events are being treated as one,Multiple charges/events are being treated as one,0,0,0,1,0,1,1
"Concealed weapon, but was not a firearm","Concealed weapon, but was not a firearm",0,0,0,5,0,0,0
Sentence recommended by Probation Officer,Sentence recommended by Probation Officer,1,0,1,0,1,0,0
Little or no injury/offender did not intend to harm,Little or no injury/offender did not intend to harm,5,1,1,0,0,0,0
"Victim circumstances (facts of the case, etc.)","Victim circumstances (facts of the case, etc.)",1,0,0,0,0,0,0
Judge thought sentence was in compliance,Judge thought sentence was in compliance,2,0,0,0,0,0,0
Judge rounded guidelines minimum to nearest whole year,Judge rounded guidelines minimum to nearest whole year,0,0,0,0,0,0,0
Offender needs sex offender treatment,Offender needs sex offender treatment,0,0,0,0,0,3,3
Judge had an issue scoring probation violation,Judge had an issue scoring probation violation,0,0,0,0,0,0,0
Judge had an issue scoring a risk assessment factor,Judge had an issue scoring a risk assessment factor,0,0,0,0,0,1,1
Note:,Figures indicate the number of times a departure reason was cited.,Figures indicate the number of times a departure reason was cited.,,,,,,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,,
110,,,,,,,,
