Name: “Table 1 of 1 on page 39 of 117”,Name: “Table 1 of 1 on page 39 of 117”,Name: “Table 1 of 1 on page 39 of 117”,Name: “Table 1 of 1 on page 39 of 117”,Name: “Table 1 of 1 on page 39 of 117”,Name: “Table 1 of 1 on page 39 of 117”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,,
,,,Guidelines Compliance,Guidelines Compliance,
Sentencing Revocation Reports (SRRs),,,,,
The most complete resource regarding revocations of community supervision in,The most complete resource regarding revocations of community supervision in,,Figure 24,Figure 24,
Virginia is the Sentencing Commission's Community Corrections Revocations Data,Virginia is the Sentencing Commission's Community Corrections Revocations Data,,,,
,,,Number and Percentage,Number and Percentage,
"System, also known as the Sentencing Revocation Report (SRR) database. First","System, also known as the Sentencing Revocation Report (SRR) database. First",,of Cases Received by,of Cases Received by,
"implemented in 1997 with assistance from the Department of Corrections (DOC), the","implemented in 1997 with assistance from the Department of Corrections (DOC), the","implemented in 1997 with assistance from the Department of Corrections (DOC), the",Circuit - FY2013*,Circuit - FY2013*,
"SRR is a simple form designed to capture the reasons for, and the outcomes of,","SRR is a simple form designed to capture the reasons for, and the outcomes of,",,,,
community supervision violation hearings. The probation officer (or Commonwealth's,community supervision violation hearings. The probation officer (or Commonwealth's,community supervision violation hearings. The probation officer (or Commonwealth's,Circuit,Number,Percent
"attorney) completes the first part of the form, which includes the offender's","attorney) completes the first part of the form, which includes the offender's",,1,650,5.6
identifying information and checkboxes indicating the reasons why a show cause or,identifying information and checkboxes indicating the reasons why a show cause or,identifying information and checkboxes indicating the reasons why a show cause or,2,203,1.8
revocation hearing has been requested. The checkboxes are based on the list of,revocation hearing has been requested. The checkboxes are based on the list of,revocation hearing has been requested. The checkboxes are based on the list of,3,324,2.8
"eleven conditions for community supervision established for every offender, but","eleven conditions for community supervision established for every offender, but",,4,836,7.3
special supervision conditions imposed by the court also can be recorded. Following,special supervision conditions imposed by the court also can be recorded. Following,special supervision conditions imposed by the court also can be recorded. Following,5,381,3.3
,,,6,112,1
"the violation hearing, the judge completes the remainder of the form with the","the violation hearing, the judge completes the remainder of the form with the",,,,
,,,7,227,2
revocation decision and any sanction ordered in the case. The completed form is,revocation decision and any sanction ordered in the case. The completed form is,revocation decision and any sanction ordered in the case. The completed form is,8,372,3.2
"submitted to the Commission, where the information is automated. A revised SRR form","submitted to the Commission, where the information is automated. A revised SRR form","submitted to the Commission, where the information is automated. A revised SRR form",9,316,2.7
was developed and implemented in 2004 to serve as a companion to the new,was developed and implemented in 2004 to serve as a companion to the new,,10,220,1.9
probation violation sentencing guidelines introduced that year.,,,11,61,0.5
,,,12,318,2.8
,,,13,301,2.6
"In FY2013, there were 11,510 felony violations of probation, suspended sentences,","In FY2013, there were 11,510 felony violations of probation, suspended sentences,","In FY2013, there were 11,510 felony violations of probation, suspended sentences,",,,
,,,14,439,3.8
or good behavior for which a Sentencing Revocation Report (SRR) was submitted to,or good behavior for which a Sentencing Revocation Report (SRR) was submitted to,or good behavior for which a Sentencing Revocation Report (SRR) was submitted to,15,661,5.7
