OFFENSE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
MURDER/NONNEG MANSLAUGHTER,4,1,1,1,2,1,3,3,1,1,0,1,19
ABDUCTION/KIDNAPPING,3,0,3,2,0,3,0,4,1,0,5,1,22
FORCIBLE RAPE,0,0,2,0,2,2,0,2,3,4,1,3,19
OTHER FORCIBLE SEX OFFENSES,1,3,4,4,3,6,5,2,12,7,3,12,62
ROBBERY,7,12,8,11,6,7,7,14,12,17,12,20,133
AGGRAVATED ASSAULT,13,7,7,9,12,10,12,9,7,12,17,9,124
SIMPLE ASSAULT/INTIMIDATION,157,131,151,159,171,147,182,131,148,134,145,135,1791
ARSON,2,1,2,2,5,2,1,1,1,3,1,1,22
EXTORTION/BLACKMAIL,0,0,0,0,0,0,0,0,0,1,0,0,1
RESIDENTIAL BURGLARY,59,47,36,55,57,47,89,57,60,59,54,44,664
COMMERCIAL BURGLARY,2,6,10,7,6,7,13,7,9,4,12,7,90
SHOPLIFTING,91,66,65,73,92,89,79,120,94,106,76,89,1040
THEFT FROM BUILDING,8,9,6,11,12,1,8,13,4,9,9,12,102
OTHER LARCENIES,198,113,171,198,233,199,246,212,243,244,196,211,2464
MOTOR VEHICLE THEFT,19,19,8,10,14,19,44,21,25,30,11,23,243
COUNTERFEITING/FORGERY,25,24,11,17,21,16,14,9,10,18,13,9,187
FRAUD,44,32,32,38,44,41,24,30,41,47,53,45,471
EMBEZZLEMENT,10,11,6,8,9,11,9,6,8,4,8,12,102
STOLEN PROPERTY OFFENSES,2,0,7,1,3,7,2,3,7,7,1,0,40
DESTRUCTION/VANDALISM,184,115,138,159,172,169,192,170,145,159,171,164,1938
DRUG/NARCOTIC OFFENSES,108,126,128,82,94,72,64,101,84,86,76,81,1102
NONFORCIBLE SEX OFFENSES,0,0,0,0,0,0,2,0,2,0,1,0,5
PORNOGRAPHY,0,0,0,0,3,0,0,0,1,0,0,0,4
GAMBLING,0,0,0,1,0,0,0,0,0,0,0,0,1
PROSTITUTION,0,0,8,1,4,4,0,5,0,0,0,0,22
BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0
WEAPON LAW VIOLATION,43,35,26,22,26,29,41,32,30,30,31,27,372
TOTAL GROUP A OFFENSES,980,758,830,871,991,889,"1,037",952,948,982,896,906,11040
