Locality,Court,Circuit Court Clerks FY03 Collections,Circuit Court Clerks FY04 Collections,Circuit Court Clerks Variance FY03 vs FY04,Circuit Court Clerks Percent Variance,Commonwealth's Attorneys FY03 Collections,Commonwealth's Attorneys FY04 Collections,Commonwealth's Attorneys Variance FY03 vs FY04,Commonwealth's Attorneys Percent Variance,Commonwealth's Attorneys Collection Method
Accomack,Circuit,264917.76,337910.03,72992.27,27.55,41522.16,43208.23,1686.07,4.06,Taxation
Accomack,District,895595.23,1195178.55,299583.32,33.45,169857.69,187228.27,17370.58,10.23,Taxation
Accomack,Juvenile,25531.86,39922.20,14390.34,56.36,10410.09,14493.70,4083.61,39.23,Taxation
Accomack,Combined,-,-,-,,-,-,-,,Taxation
Albemarle,Circuit,1507694.34,509604.26,-998090.08,-66.20,60149.61,53748.31,-6401.30,-10.64,Taxation
Albemarle,District,1163740.40,1417852.67,254112.27,21.84,118593.34,129264.00,10670.66,9.00,Taxation
Albemarle,Juvenile,61288.39,85185.58,23897.19,38.99,7709.19,14159.50,6450.31,83.67,Taxation
Albemarle,Combined,-,-,-,,-,-,-,,Taxation
ALLEGHANY,Circuit,186080.99,253287.25,67206.26,36.12,23727.49,34098.20,10370.71,43.71,Taxation
ALLEGHANY,District,-,-,-,,-,-,-,,Taxation
ALLEGHANY,Juvenile,-,-,-,,-,-,-,,Taxation
ALLEGHANY,Combined,719020.30,1070896.23,351875.93,48.94,74803.10,82864.46,8061.36,10.78,Taxation
Amelia,Circuit,45058.41,101277.05,56218.64,124.77,25013.45,31668.01,6654.56,26.60,Taxation
Amelia,District,-,-,-,,-,-,-,,Taxation
Amelia,Juvenile,-,-,-,,-,-,-,,Taxation
Amelia,Combined,322857.11,425556.86,102699.75,31.81,52517.06,56835.32,4318.26,8.22,Taxation
AMHERST,Circuit,219477.31,341165.56,121688.25,55.44,32348.59,28844.45,-3504.14,-10.83,Taxation
AMHERST,District,552187.30,891234.24,339046.94,61.40,103917.59,113587.20,9669.61,9.31,Taxation
AMHERST,Juvenile,34434.16,61818.86,27384.70,79.53,11411.89,12703.93,1292.04,11.32,Taxation
AMHERST,Combined,-,-,-,,-,-,-,,Taxation
Appomattox,Circuit,91107.23,94521.22,3413.99,3.75,9865.61,13109.06,3243.45,32.88,Taxation
Appomattox,District,359192.32,428389.53,69197.21,19.26,36920.86,35996.46,-924.4,-2.50,Taxation
Appomattox,Juvenile,7915.10,22569.77,14654.67,185.15,2448.01,5808.97,3360.96,137.29,Taxation
Appomattox,Combined,-,-,-,,-,-,-,,Taxation
Arlington County & Falls Church,Circuit,1918687.07,2454370.86,535683.79,27.92,367243.47,339728.81,-27514.66,-7.49,Taxation
Arlington County & Falls Church,District,5843947.01,8218024.38,2374077.37,40.62,612583.81,673762.55,61178.74,9.99,Taxation
Arlington County & Falls Church,Juvenile,89432.82,126659.27,37226.45,41.63,18116.96,21497.58,3380.62,18.66,Taxation
Arlington County & Falls Church,Combined,-,-,-,,45295.59,46948.07,1652.48,3.65,Taxation
Augusta,Circuit,416894.62,606970.70,190076.08,45.59,31890.50,36164.71,4274.21,13.40,Taxation
Augusta,District,1122389.62,1404519.40,282129.78,25.14,113603.36,145673.64,32070.28,28.23,Taxation
Augusta,Juvenile,62207.45,86613.19,24405.74,39.23,12774.82,21436.89,8662.07,67.81,Taxation
Augusta,Combined,-,-,-,,-,-,-,,Taxation
Bath,Circuit,22135.08,29637.96,7502.88,33.90,2463.99,4349.39,1885.40,76.52,Taxation
Bath,District,-,-,-,,-,-,-,,Taxation
Bath,Juvenile,-,-,-,,-,-,-,,Taxation
Bath,Combined,93677.95,119608.89,25930.94,27.68,4612.63,2376.33,-2236.30,-48.48,Taxation
Bedford County & Bedford City,Circuit,565633.34,668270.36,102637.02,18.15,62544.36,80048.76,17504.40,27.99,Taxation
Bedford County & Bedford City,District,907809.47,1212860.21,305050.74,33.60,103816.47,107321.97,3505.50,3.38,Taxation
Bedford County & Bedford City,Juvenile,48004.27,83412.10,35407.83,73.76,8617.55,21379.97,12762.42,148.10,Taxation
Bedford County & Bedford City,Combined,-,-,-,,-,-,-,,Taxation
Bland,Circuit,177119.76,80550.22,-96569.54,-54.52,3208.15,5603.91,2395.76,74.68,Taxation
Bland,District,-,-,-,,-,-,-,,Taxation
Bland,Juvenile,-,-,-,,-,-,-,,Taxation
Bland,Combined,759955.84,786540.39,26584.55,3.50,43958.29,43923.60,-34.69,-0.08,Taxation
BOTETOURT,Circuit,349149.22,344565.70,-4583.52,-1.31,48751.72,34338.00,-14413.72,-29.57,"In-House Page B-13, footnote 1"
BOTETOURT,District,-,-,-,,-,-,-,,"In-House Page B-13, footnote 1"
BOTETOURT,Juvenile,-,-,-,,-,-,-,,"In-House Page B-13, footnote 1"
BOTETOURT,Combined,1338755.10,1512280.55,173525.45,12.96,85498.28,81243.00,-4255.28,-4.98,"In-House Page B-13, footnote 1"
BRUNSWICK,Circuit,435714.22,538858.98,103144.76,23.67,40200.04,33321.81,-6878.23,-17.11,Taxation
BRUNSWICK,District,-,-,-,,-,-,-,,Taxation
BRUNSWICK,Juvenile,-,-,-,,-,-,-,,Taxation
BRUNSWICK,Combined,1473310.83,1947545.60,474234.77,32.19,162485.31,212083.55,49598.24,30.52,Taxation
BUCHANAN,Circuit,112287.08,205400.62,93113.54,82.92,63633.16,74418.53,10785.37,16.95,Taxation
BUCHANAN,District,-,-,-,,-,-,-,,Taxation
BUCHANAN,Juvenile,-,-,-,,-,-,-,,Taxation
BUCHANAN,Combined,348084.96,456812.07,108727.11,31.24,71048.39,81296.69,10248.30,14.42,Taxation
BUCKINGHAM,Circuit,54997.73,71747.15,16749.42,30.45,11394.64,19284.31,7889.67,69.24,Taxation
BUCKINGHAM,District,-,-,-,,-,-,-,,Taxation
BUCKINGHAM,Juvenile,-,-,-,,-,-,-,,Taxation
BUCKINGHAM,Combined,221022.55,328778.02,107755.47,48.75,24070.99,33535.07,9464.08,39.32,Taxation
CAMPBELL,Circuit,252588.18,408050.36,155462.18,61.55,77695.74,83620.93,5925.19,7.63,Taxation
CAMPBELL,District,670540.64,906979.71,236439.07,35.26,78163.63,92506.08,14342.45,18.35,Taxation
CAMPBELL,Juvenile,48351.27,66478.23,18126.96,37.49,12568.13,14430.23,1862.10,14.82,Taxation
CAMPBELL,Combined,-,-,-,,-,-,-,,Taxation
CAROLINE,Circuit,828721.67,642631.98,-186089.69,-22.46,33855.47,31389.57,-2465.90,-7.28,Taxation
CAROLINE,District,1723660.09,1758568.19,34908.10,2.03,191942.74,207448.34,15505.60,8.08,Taxation
CAROLINE,Juvenile,29618.95,44232.21,14613.26,49.34,10423.91,10923.87,499.96,4.80,Taxation
CAROLINE,Combined,-,-,-,,-,-,-,,Taxation
CARROLL,Circuit,200700.68,221334.47,20633.79,10.28,14767.28,18703.25,3935.97,26.65,E-Recovery Solutions
CARROLL,District,-,-,-,,-,-,-,,E-Recovery Solutions
CARROLL,Juvenile,-,-,-,,-,-,-,,E-Recovery Solutions
CARROLL,Combined,833871.45,1023390.96,189519.51,22.73,55926.36,68856.93,12930.57,23.12,E-Recovery Solutions
Charles City County,Circuit,63254.68,92478.48,29223.80,46.20,13666.35,22187.31,8520.96,62.35,Taxation
Charles City County,District,-,-,-,,-,-,-,,Taxation
Charles City County,Juvenile,-,-,-,,-,-,-,,Taxation
Charles City County,Combined,99381.96,159818.89,60436.93,60.81,13353.07,24648.26,11295.19,84.59,Taxation
Charlotte,Circuit,45079.31,150884.18,105804.87,234.71,1852.59,12161.25,10308.66,556.45,Taxation
Charlotte,District,412767.64,461680.26,48912.62,11.85,39468.74,46126.76,6658.02,16.87,Taxation
Charlotte,Juvenile,13799.58,18352.53,4552.95,32.99,1972.53,3144.28,1171.75,59.40,Taxation
Charlotte,Combined,,,,,,,,,Taxation
CHESTERFIELD,Circuit,2819137.14,3767437.46,948300.32,33.64,480057.20,510257.00,30199.80,6.29,Taxation
CHESTERFIELD,District,4305092.22,5092762.82,787670.60,18.30,586286.24,654931.51,68645.27,11.71,"Hufff, Poole & Mahoney. P.C."
CHESTERFIELD,Juvenile,220229.50,334017.83,113788.33,51.67,61539.47,76775.09,15235.62,24.76,Taxation
CHESTERFIELD,Combined,-,-,-,,-,-,-,,
CLARKE,Circuit,173702.24,194334.98,20632.74,11.88,7191.52,10126.83,2935.31,40.82,Taxation
CLARKE,District,374812.27,394109.25,19296.98,5.15,40829.36,32195.74,-8633.62,-21.15,Taxation
CLARKE,Juvenile,9759.18,16842.66,7083.48,72.58,1716.25,1814.81,98.56,5.74,Taxation
CLARKE,Combined,-,-,-,,-,-,-,,Taxation
CRAIG,Circuit,20080.43,25024.39,4943.96,24.62,1847.68,5000.21,3152.53,170.62,Taxation
CRAIG,District,-,-,-,0.00,-,-,-,,Taxation
CRAIG,Juvenile,-,-,-,,-,-,-,,Taxation
CRAIG,Combined,48295.44,71626.28,23330.84,48.31,6883.03,8007.74,1124.71,16.34,Taxation
CULPEPER,Circuit,430259.73,573017.03,142757.30,33.18,20676.32,29485.50,8809.18,42.61,Taxation
CULPEPER,District,-,-,-,,-,-,-,,Taxation
CULPEPER,Juvenile,-,-,-,,-,-,-,,Taxation
CULPEPER,Combined,1140489.61,1527489.63,387000.02,33.93,103954.42,133263.23,29308.81,28.19,Taxation
