FIPS Code,Locality,Court,Assessed (Responsibility of the Circuit Court Clerk),Collected (Responsibility of the Circuit Court Clerk),Percent Collected (Responsibility of the Circuit Court Clerk),Net Assessed (Responsibility of the Commonwealth's Attorney),Gross Collected (Responsibility of the Commonwealth's Attorney),Net Collected (Responsibility of the Commonwealth's Attorney),Gross Percent Collected (Responsibility of the Commonwealth's Attorney),Collection Method (Responsibility of the Commonwealth's Attorney)
001,ACCOMACK,CIRCUIT,495555.77,337910.03,68,139145.03,52058.11,43208.23,37,Taxation
001,ACCOMACK,DISTRICT,2208955.48,1195178.55,54,634244.78,225576.23,187228.27,36,Taxation
001,ACCOMACK,JUVENILE,71374.44,39922.20,56,45190.81,17462.29,14493.70,39,Taxation
001,ACCOMACK,COMBINED,,,0,,,,0,
003,ALBEMARLE,CIRCUIT,791410.68,509604.26,64,161229.58,64757.00,53748.31,40,Taxation
003,ALBEMARLE,DISTRICT,1636185.48,1417852.67,87,157226.46,155739.76,129264.00,99,Taxation
003,ALBEMARLE,JUVENILE,104930.45,85185.58,81,23117.76,17059.64,14159.50,74,Taxation
003,ALBEMARLE,COMBINED,,,0,,,,0,
005,ALLEGHANY,CIRCUIT,394247.84,253287.25,64,104347.11,41082.17,34098.20,39,Taxation
005,ALLEGHANY,DISTRICT,,,0,,,,0,
005,ALLEGHANY,JUVENILE,,,0,,,,0,
005,ALLEGHANY,COMBINED,1274511.81,1070896.23,84,180042.77,99836.70,82864.46,55,Taxation
007,AMELIA,CIRCUIT,162055.16,101277.05,63,38138.00,38154.23,31668.01,100,Taxation
007,AMELIA,DISTRICT,,,0,,,,0,
007,AMELIA,JUVENILE,,,0,,,,0,
007,AMELIA,COMBINED,480852.97,425556.86,89,56484.38,68476.29,56835.32,121,Taxation
009,AMHERST,CIRCUIT,522245.52,341165.56,65,127407.04,34752.35,28844.45,27,Taxation
009,AMHERST,DISTRICT,994073.95,891234.24,90,152203.85,136852.05,113587.20,90,Taxation
009,AMHERST,JUVENILE,119133.34,61818.86,52,42891.15,15305.94,12703.93,36,Taxation
009,AMHERST,COMBINED,,,0,,,,0,
011,APPOMATTOX,CIRCUIT,240974.05,94521.22,39,46041.84,15794.05,13109.06,34,Taxation
011,APPOMATTOX,DISTRICT,506982.55,428389.53,85,70806.04,43369.23,35996.46,61,Taxation
011,APPOMATTOX,JUVENILE,26523.79,22569.77,85,7561.24,6998.76,5808.97,93,Taxation
011,APPOMATTOX,COMBINED,,,0,,,,0,
013,ARLINGTON/FALLS CHUR,CIRCUIT,3798480.79,2454370.86,65,1044357.06,409311.82,339728.81,39,Taxation
013,ARLINGTON/FALLS CHUR,DISTRICT,9372820.88,8218024.38,88,456746.02,811762.11,673762.55,178,Taxation
013,ARLINGTON/FALLS CHUR,JUVENILE,162221.38,126659.27,78,38222.97,25900.70,21497.58,68,Taxation
013,ARLINGTON/FALLS CHUR,COMBINED,,,0,33802.19,56563.94,46948.07,167,Taxation
015,AUGUSTA,CIRCUIT,1033346.76,606970.70,59,77295.45,43571.94,36164.71,56,Taxation
015,AUGUSTA,DISTRICT,1578500.01,1404519.40,89,203500.71,175510.41,145673.64,86,Taxation
015,AUGUSTA,JUVENILE,133070.66,86613.19,65,52007.51,25827.58,21436.89,50,Taxation
015,AUGUSTA,COMBINED,,,0,,,,0,
017,BATH,CIRCUIT,41588.46,29637.96,71,2944.44,5240.23,4349.39,178,Taxation
017,BATH,DISTRICT,,,0,,,,0,
017,BATH,JUVENILE,,,0,,,,0,
017,BATH,COMBINED,123735.60,119608.89,97,7869.73,2863.05,2376.33,36,Taxation
019,BEDFORD,CIRCUIT,875440.81,668270.36,76,212719.39,96444.29,80048.76,45,Taxation
019,BEDFORD,DISTRICT,1392256.84,1212860.21,87,118860.88,129303.58,107321.97,109,Taxation
019,BEDFORD,JUVENILE,106226.87,83412.10,79,42278.61,25759.00,21379.97,61,Taxation
019,BEDFORD,COMBINED,,,0,,,,0,
021,BLAND,CIRCUIT,112420.61,80550.22,72,17869.44,6751.70,5603.91,38,Taxation
021,BLAND,DISTRICT,,,0,,,,0,
021,BLAND,JUVENILE,,,0,,,,0,
