,FY2007 Male FY2007 Female FY2008 Male FY2008 Female,,,
Capital Murder,*,*,*,*
First Degree Homicide,20.00%,*,20.40%,*
Second Degree Homicide ,18.20%,*,14.30%,*
Manslaughter ,22.00%,0.00%,13.60%,0.00%
Abduction ,18.60%,*,12.60%,*
Rape/Sexual Assault ,23.20%,*,18.50%,*
Robbery ,22.80%,17.60%,22.70%,12.70%
Assault ,31.10%,23.90%,25.40%,19.80%
Weapons ,19.80%,*,17.70%,*
Arson ,21.10%,*,27.10%,*
Burglary/B&E ,33.60%,27.80%,31.30%,21.30%
Larceny/Fraud ,33.60%,19.00%,30.20%,18.10%
Conspiracy ,42.10%,*,*,*
Other Sex Offense ,27.70%,*,31.40%,*
DUI ,18.80%,18.50%,15.10%,9.40%
Habitual Offender ,19.80%,7.10%,21.60%,11.10%
Other PPO ,21.70%,6.70%,23.10%,5.00%
Drug Sales ,23.90%,21.00%,18.90%,11.80%
Drug Possession ,25.90%,13.60%,22.40%,20.60%
Not Reported ,22.20%,*,12.30%,*
