Primary Offense,Juvenile Arrests,Adult Arrests,Total
Aggravated Assault,1,1,2
Simple Assault,4,15,19
Burglar/Breaking and Entering,0,7,7
Theft from a Motor Vehicle,0,3,3
All Other Larceny,1,5,6
Motor Vehicle Theft,0,3,3
False Pretense/Swindle,0,1,1
Credit Card/ATM Fraud,0,3,3
Stolen Property Offenses,0,1,1
Destruction/Damage/Vandalism of Property,0,4,4
Drug/Narcotic Violations,4,12,16
Statutory Rape,0,1,1
Weapon Law Violations,1,1,2
Bad Checks,0,3,3
Disorderly Conduct,0,4,4
Driving Under the Influence,1,68,69
Drunkenness,0,33,33
Liquor Law Violations,0,2,2
Trespass of Real Property,4,14,18
All other Offenses,1,23,24
Transport,0,6,6
Possession of Alcohol,4,25,29
Possession of Tobacco,9,0,9
Illegal Dumping,0,2,2
Mental Patient,0,5,5
Reportable Traffic Crash,0,1,1
No Operator License,0,12,12
Game Law Violations,0,1,1
ECO,2,2,4
Animal Control,1,10,11
False Information to an Officer,0,1,1
Drive Suspended,0,21,21
Warrant Service,21,101,122
Total,54,391,445
