Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10,,34,7,,
10--12,1,63,5,,
13-14,1,130,30,,
15,,59,14,,
16,1,60,31,,
17,,42,42,,
18,,47,53,1,
19,1,47,33,1,
20,,31,50,,
21,,32,49,,1
22,,29,38,,
23,,20,27,,
24,,15,27,,
25-29,,92,114,,
30-34,,78,102,1,
35-39,1,66,105,1,
40-44,,45,74,,1
45-49,,21,28,,
50-54,,11,19,,
55-59,,3,11,,
60-64,1,3,3,,
65 & Over,,14,10,,
Unknown,,2,98,,36
Total,6,944,970,4,38
White,3,628,498,2,
Black,3,298,442,2,1
American Indian/Alaskan Native,,2,,,
Asian/Pacific Islander,,10,8,,
Unknown,,6,22,,37
Total,6,944,970,4,38
