Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter ,134,0.18,3.17
Negligent Manslaughter ,9,0.01,0.21
Kidnapping ,293,0.4,6.92
Forcible Rape ,340,0.47,8.03
Forcible Sodomy ,130,0.18,3.07
Sexual Assault with an Object ,82,0.11,1.94
Forcible Fondling of a Child ,398,0.55,9.4
Robbery ,760,1.04,17.95
Aggravated Assault ,3965,5.44,93.66
Simple Assault ,21239,29.16,501.72
Intimidation ,1033,1.42,24.4
Arson ,269,0.37,6.36
Extortion/Blackmail ,28,0.04,0.66
Burglary/Breaking & Entering ,3159,4.34,74.63
Pocket-picking ,211,0.29,4.99
Purse-snatching,25,0.04,0.59
Shoplifting ,6561,9.01,154.99
Theft from Building ,690,0.95,16.3
Theft from Coin-Operated Machine or Device ,53,0.07,1.25
Theft from Motor Vehicle ,588,0.81,13.89
Theft of Motor Vehicle Parts or Accessories ,115,0.16,2.72
All Other Larceny ,5903,8.11,139.45
Motor Vehicle Theft ,1791,2.46,42.31
Counterfeiting/Forgery ,1937,2.66,45.76
False Pretenses/Swindle/Confidence Game ,1199,1.65,28.32
Credit Card/Automatic Teller Machine Fraud ,214,0.29,5.06
Impersonation ,77,0.11,1.82
Welfare Fraud ,40,0.06,0.95
Wire Fraud ,1,,0.02
Embezzlement ,644,0.89,15.21
Stolen Property Offenses ,514,0.71,12.14
DestructionDamage/Vandalism of Property ,3409,4.68,80.53
Drug/Narcotic Violations ,13864,19.04,327.51
Drug Equipment Violations ,152,0.21,3.59
Incest,4,0.01,0.1
Statutory Rape ,70,0.1,1.65
Pornography/Obscene Material ,20,0.03,0.47
Betting/Wagering ,12,0.02,0.28
Operating/Promoting/Assisting Gambling ,5,0.01,0.12
Gambling Equipment Violations ,7,0.01,0.17
Sports Tampering ,,,
Prostitution ,128,0.18,3.02
Assisting or Promoting Prostitution ,29,0.04,0.69
Bribery ,11,0.02,0.26
Weapon Law Violations ,2722,3.74,64.3
Total,72835,100,1720.56
