Relationship of Victim to Offender in Aggravated Assault Offenses,Total
Spouse,614
Common-Law Spouse,88
Parent,137
Sibling,192
Child,159
Grandparent,6
Grandchild,2
In-Law,45
Stepparent,27
Stepchild,36
Stepsibling,7
Other Family Member,202
Victim Was Offender,460
Acquaintance,1846
Friend,431
Neighbor,164
Babysittee (the baby),8
Boyfriend/Girlfriend,848
Child of Boyfriend/Girlfriend,20
Homosexual Relationship,16
Ex-Spouse,26
Employee,16
Employer,13
Otherwise Known,910
Relationship Unknown,1659
Victim Was Stranger,1503
