Arrests by Offense,Accomack,,Albemarle ,,Alleghany ,,Amelia ,,Amherst ,,Appomattox,,Arlington,,Augusta,,Bath,,Bedford,,Bland,,Botetourt,,Brunswick ,,Buchanan ,,Buckingham ,,Campbell ,,Caroline ,,Carroll,,Charles City,,Charlotte,,Chesterfield,,Clarke,,Craig,,Culpeper,,Cumberland,,Dickenson,,Dinwiddie,,Essex,,Fairfax,,Fauquier,,Floyd,,Fluvanna,,Franklin,,Frederick,,Giles,,Gloucester,,Goochland,,Grayson,,Greene,,Greensville,,Halifax,,Hanover,,Henrico,,Henry,,Highland,,Isle of Wight,,James City,,King & Queen,,King George,,King William,,Lancaster,,Lee,,Loudoun,,Louisa,,Lunenburg,,Madison,,Mathews,,Mecklenburg,,Middlesex,,Montgomery,,Nelson,,New Kent,,Northampton,,Northumberland,,Nottoway,,Orange,,Page,,Patrick,,Pittsylvania,,Powhatan,,Prince Edward,,Prince George,,Prince William,,Pulaski,,Rappahannock,,Richmond,,Roanoke,,Rockbridge,,Rockingham,,Russell,,Scott,,Shenandoah,,Smyth,,Southampton,,Spotsylvania,,Stafford,,Surry,,Sussex,,Tazewell,,Warren,,Washington,,Westmoreland,,Wise,,Wythe,,York,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,1,1,2,,,,,,,,2,,1,,1,,,,,,,,,,1,,1,,,,,,2,,,1,,,1,,6,3,,,,,2,,1,,1,,,,,,6,1,5,,,,,,3,,,,,,,,,,,,,,,,,,1,,10,1,6,,,,1,,2,,,,1,,,,,,1,,1,,,,1,,,,,,3,,1,,2,,,,2,,2,,,,3,,,,,,,,1,,,,,,1,,9,3,,,,,6,,,,,,1,,,,2,,,,,,1,,1,,2,,1,,1,,,,,,1,,2,,4,,1,,1,
Manslaughter, ,,,,,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,1,,2, ,,,,,,,,,,,, ,,,,,,,,,,,, ,,,1,,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,,,1, ,,,,,,,,,,,, ,,,,,,,,,,,, ,1,,,,,,,,,,, ,,,,,,,,,1,,1, ,,,,,,,,,,,, ,1,,,,,,,,
Forcible Rape,1,,3,,,,,1,3,,1,,3,,8,,,,5,,,,1,,2,,,,3,,2,,9,,,,,,,,14,7,,,,,1,,3,,1,,2,1,3,,19,,5,1,,,,,4,1,2,1,,,2,3,,,1,,3,,,,5,,4,,14,3,7,,,,2,,2,,,,1,,,,,,3,,2,1,4,,1,,1,,,,6,1,,,8,,,,2,,3,,1,,6,,,,5,,1,,5,,2,,2,,2,,10,1,3,,,,3,,3,,4,1,3,,3,1,,,2,,1,,,,2,,15,,,,1,,5,,1,,3,,2,,9,,3,,5,1
Robbery,3,2,3,1,,,,,5,,2,,51,8,2,,,,8,,,,2,,2,,2,,,,6,2,3,2,3,,,,1,,40,18,,,,,4,,,,,,1,1,1,,55,22,3,1,,,,,11,,3,,,,2,,,,,,,,,,2,,15,2,62,39,12,6,,,4,,8,2,,,2,,,,1,,,,2,4,1,,5,,,,1,,7,5,,,2,,,,,,2,1,,,2,,,,,,3,,5,1,,,4,,,,58,40,2,,,,,,2,,,,3,,7,,4,1,1,,1,,2,,4,6,10,3,,,7,,1,,1,,2,,4,1,3,,5,,10,1
Aggravated Assault,21,1,16,2,11,,4,,15,,2,,132,16,41,2,3,,23,,2,,15,2,15,,42,,26,3,30,2,28,6,28,2,3,,14,,126,51,,4,3,,33,9,10,,1,,14,5,8,2,172,28,18,2,,,2,,39,8,22,3,12,,17,2,12,4,6,,21,,1,,64,1,28,12,195,38,66,6,,,14,4,30,7,5,,9,2,5,3,4,,28,1,83,19,26,,6,1,3,,1,,28,2,3,,78,6,3,1,5,2,12,2,6,1,19,1,30,3,8,,12,,46,6,7,2,16,2,5,5,187,52,18,4,2,1,5,,23,1,10,,7,,21,3,7,2,62,5,33,1,37,,49,11,43,11,19,1,29,3,431,5,6,,26,3,15,,44,,15,4,185,25
Burglary,17,3,9,2,3,,2,4,12,,,3,50,17,36,18,,2,16,17,,,18,11,13,1,16,2,16,6,56,2,16,7,55,5,,,13,,112,134,2,,11,5,27,4,11,9,6,,16,3,1,,210,41,28,3,6,,,,36,18,33,67,1,2,17,11,7,,16,5,8,7,,,7,,33,20,156,112,54,10,,,18,19,8,11,1,,19,3,17,8,5,2,38,,22,12,15,,8,4,16,6,5,11,34,24,3,4,29,7,6,,3,,17,17,32,6,3,2,5,2,4,5,48,,55,14,8,,15,2,6,,100,109,10,,,1,5,2,14,8,17,6,14,3,19,,8,,19,15,30,1,3,,10,4,35,20,2,,8,4,49,12,21,8,11,6,51,1,16,,6,4,23,11
Larceny,60,13,211,115,30,3,19,4,43,15,16,1,794,334,91,25,,,34,11,4,,28,10,29,6,55,3,16,1,101,18,43,3,31,10,1,,10,,518,582,6,,15,2,104,58,26,12,3,,35,36,50,19,"1,512",443,54,19,12,2,2,2,52,44,122,62,13,,74,28,4,4,22,1,44,4,,,23,,209,114,"1,485",648,197,15,1,,85,10,72,46,5,,20,5,12,3,15,1,35,,281,44,25,2,16,1,14,1,6,2,91,27,11,3,280,122,5,1,20,2,60,8,22,3,46,12,38,20,10,7,43,,53,12,6,,48,9,36,17,891,234,117,4,3,,13,,74,21,34,13,39,15,47,7,24,,95,45,43,4,2,,120,19,238,105,23,2,35,7,260,43,59,18,101,33,26,12,105,18,65,12,219,53
Motor Vehicle Theft,5,2,2,1,2,2,,,3,,1,2,72,39,2,1,,,8,,1,,6,3,1,,2,,11,,14,3,3,2,18,1,,,4,,300,235,,,1,,2,1,8,,2,,13,8,6,3,123,40,10,6,4,,2,,4,9,6,5,1,,11,10,4,4,4,4,,,,,1,1,2,3,89,82,21,9,,,7,4,6,,,,,1,4,1,,,4,,20,15,6,,3,,4,1,4,,5,2,1,,10,11,3,,,,7,3,1,,5,,4,2,,1,3,,2,2,,1,1,,8,,40,27,1,2,1,,3,,4,,8,2,2,3,5,,2,,8,2,3,1,,,13,4,27,21,,,4,2,24,1,5,4,2,1,3,2,5,1,4,3,32,9
Arson,1,,1,2,,,1,,3,,,,1,4,7,3,,,1,2,,,,2,,,5,,,,1,,,,1,,,,,,3,29,,2,,,,,,,,,,1,,,17,17,,,,1,,,,,4,1,,,3,4,,,,,1,1,,,1,,,,3,22,2,,,,1,,1,9,,,,,,,,,1,,,1,,,,1,1,,,2,6,1,,,1,1,,,,,,,,,4,,1,2,1,,1,,1,,2,,,,1,,6,17,,,,,,,,,10,6,,3,2,,2,1,,7,,,,,2,,3,4,,,,,8,4,,2,,,,,2,1,,1,,2
