Offenses,Year,Total IBR Agencies,Total Summary Agencies
Murder/Nonnegligent Manslaughter,1999,172,174
Forcible Rape,1999,950,616
Robbery,1999,2643,3522
Aggravated Assaults,1999,7545,4033
Burglary,1999,17112,12668
Larceny,1999,90473,67285
Motor Vehicle Theft,1999,8289,7831
Arson,1999,922,765
Total,1999,128106,96894
"Although we do not advocate adding two reporting systems in order to obtain a statewide total crime count for Virginia, we are providing the above crime counts in the two systems. These are the eight crimes contained in both systems; however, the summary system counts only the highest crime in an incident and the IBR system counts all offenses in an incident to a maximum of ten. For the offenses against a person in the IBR system, victim counts are recorded here instead of offense counts to be comparable to the data in the summary system.",,,
