Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M,1,1,0,0,0,2
,F,2,1,0,0,0,3
,U,0,0,0,0,0,0
10--14,M,0,0,0,0,0,0
,F,2,0,0,0,0,2
,U,0,0,0,0,0,0
15-19 ,M,4,10,0,0,0,14
,F,1,1,0,0,0,2
,U,0,0,0,0,0,0
20-24 ,M,2,13,0,0,0,15
,F,1,3,0,0,0,4
,U,0,0,0,0,0,0
25-29 ,M,3,11,0,0,0,14
,F,3,3,0,1,0,7
,U,0,0,0,0,0,0
30-34 ,M,9,6,0,0,0,15
,F,1,2,0,0,0,3
,U,0,0,0,0,0,0
35-39 ,M,8,12,0,1,0,21
,F,6,2,0,0,0,8
,U,0,0,0,0,0,0
40-44 ,M,3,3,0,0,0,6
,F,3,3,0,0,0,6
,U,0,0,0,0,0,0
45-49 ,M,3,5,0,0,0,8
,F,1,0,0,0,0,1
,U,0,0,0,0,0,0
50-54 ,M,5,1,0,0,0,6
,F,1,1,0,0,0,2
,U,0,0,0,0,0,0
55-59 ,M,5,0,0,0,0,5
,F,1,0,0,0,0,1
,U,0,0,0,0,0,0
60-64 ,M,2,0,0,0,0,2
,F,2,0,0,0,0,2
,U,0,0,0,0,0,0
65 & Over ,M,6,2,0,0,0,8
,F,4,1,0,0,0,5
,U,0,0,0,0,0,0
Unknown ,M,0,1,0,0,0,1
,F,0,2,0,0,0,2
,U,0,0,0,0,0,0
TOTAL ,M,51,70,0,1,0,122
,F,28,20,0,1,0,49
,U,0,0,0,0,0,0
