Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff's Office,52,42,10,11
Chincoteague PD,10,10,0,3
Onancock PD,4,4,0,0
Parksley PD,3,3,0,0
Onley PD,3,3,0,0
ALBEMARLE COUNTY,,,,
Albemarle PD,101,90,11,22
ALLEGHANY COUNTY,,,,
Sheriff's Office,41,36,5,16
AMELIA COUNTY,,,,
Sheriff's Office,12,12,0,7
AMHERST COUNTY,,,,
Sheriff's Office,63,48,15,5
Amherst PD,5,5,0,0
APPOMATTOX COUNTY,,,,
Sheriff's Office,31,25,6,3
ARLINGTON COUNTY,,,,
Arlington PD,350,289,61,140
AUGUSTA COUNY,,,,
Sheriff's Office,59,58,1,62
BATH COUNTY,,,,
Sheriff's Office,16,14,2,0
BEDFORD COUNTY,,,,
Sheriff's Office,71,60,11,1
BLAND COUNTY,,,,
Sheriff's Office,8,8,0,7
BOTETOURT COUNTY,,,,
Sheriff's Office,60,56,4,17
BRUNSWICK COUNTY,,,,
Sheriff's Office,34,31,3,12
Lawrenceville PD,5,5,0,0
BUCHANAN COUNTY,,,,
Sheriff's Office,41,41,0,10
Grundy PD,4,4,0,1
BUCKINGHAM COUNTY,,,,
Sheriff's Office,16,15,1,6
CAMPBELL COUNTY,,,,
Sheriff's Office,52,49,3,3
Altavista PD,11,11,0,0
Brookneal PD,4,4,0,0
CAROLINE COUNTY,,,,
Sheriff's Office,31,31,0,8
Bowling Green PD,0,0,0,0
CARROLL COUNTY,,,,
Sheriff's Office,27,26,1,5
Hillsville PD,11,11,0,1
CHARLES CITY COUNTY,,,,
Sheriff's Office,9,7,2,6
CHARLOTTE COUNTY,,,,
Sheriff's Office,29,21,8,3
CHESTERFIELD COUNTY,,,,
Chesterfield PD,430,397,33,99
CLARKE COUNTY,,,,
Sheriff's Office,14,14,0,10
Berryville PD,7,6,1,1
CRAIG COUNTY,,,,
Sheriff's Office,8,8,0,5
CULPEPER COUNTY,,,,
Sheriff's Office,77,56,21,17
Culpeper PD,32,29,3,6
CUMBERLAND COUNTY,,,,
Sheriff's Office,11,9,2,5
DICKENSON COUNTY,,,,
Sheriff's Office,37,27,10,3
Clintwood PD,3,3,0,0
Haysi PD,2,2,0,0
Clinchco,0,0,0,0
DINWIDDIE COUNTY,,,,
Sheriff's Office,51,47,4,11
McKenney PD,1,1,0,0
ESSEX COUNTY,,,,
Sheriff's Office,13,9,4,0
