Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,0,2,2,7,7,18
Negligent Manslaughter,0,1,0,0,1,0,2
Kidnaping/Abduction,0,2,9,2,7,14,34
Forcible Rape,0,2,23,15,7,17,64
Forcible Sodomy,2,17,37,15,9,4,84
Sexual Assault with an Object,0,3,5,7,5,1,21
Forcible Fondling,4,29,56,24,20,11,144
Robbery,0,6,44,46,65,82,243
Aggravated Assault,9,35,149,94,115,119,521
Simple Assault,41,570,1410,799,832,751,4403
Intimidation,0,30,74,39,43,45,231
Arson,9,23,66,34,22,10,164
Extortion/Blackmail,0,1,3,3,5,0,12
Burglary/Breaking & Entering,23,106,300,256,242,201,1128
Pocket Picking,0,6,10,7,17,7,47
Purse Snatching,0,0,0,1,1,3,5
Shoplifting,9,206,559,408,486,459,2127
Theft from Building,1,24,60,30,34,42,191
Theft from Coin-Operated Device,0,0,0,0,2,1,3
Theft from Motor Vehicle,1,9,30,46,17,47,150
Theft of Motor Vehicle Parts,0,0,1,4,6,6,17
All Other Larceny,15,192,472,321,403,426,1829
Motor Vehicle Theft,0,10,75,108,102,98,393
Counterfeiting/Forgery,1,2,8,7,21,45,84
False Pretenses/Swindle/Confidence Game,0,3,4,8,8,17,40
Credit Card/Teller Machine Fraud,0,1,4,5,8,6,24
Impersonation,0,0,1,0,6,10,17
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,0,0
