Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,11,3,,,,14
,F,,2,,,1,3
,U,,,,,,
10--14,M,,3,,,,3
,F,1,,,,,1
,U,,,,,,
15-19,M,14,26,,,1,41
,F,2,2,,,,4
,U,,,,,,
20-24,M,11,60,,,3,74
,F,3,11,,,1,15
,U,,,,,,
25-29,M,8,38,,,1,47
,F,3,6,,,1,10
,U,,,,,,
30-34,M,7,21,,1,1,30
,F,1,2,,,,3
,U,,,,,,
35-39,M,6,15,,1,,22
,F,4,4,,,,8
,U,,,,,,
40-44,M,12,15,,,,27
,F,10,3,,1,,14
,U,,,,,,
45-49,M,10,8,,,,18
,F,2,2,,,,4
,U,,,,,1,1
50-54,M,6,3,,1,1,11
,F,4,2,,,,6
,U,,,,,,
55-59,M,4,2,,,,6
,F,5,2,,,,7
,U,,,,,,
60-64,M,3,2,,,,5
,F,1,,,,,1
,U,,,,,,
65 & Over,M,3,4,,,,7
,F,6,2,,,,8
,U,,,,,,
Unknown,M,2,13,,,,15
,F,,3,,,,3
,U,,,,,,
TOTAL,M,97,213,,3,7,320
,F,42,41,,1,3,87
,U,,,,,1,1
