Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
“Crack” Cocaine ,1,2,15,23,36,62,154,219,169,192,218,175,180,642,484,540,479,333,149,41,14,11,4139
Cocaine ,0,1,7,8,11,33,92,122,103,112,117,112,99,395,344,296,284,162,70,27,10,7,2412
Hashish ,0,0,0,0,1,0,1,3,0,1,2,5,2,9,2,1,5,2,0,0,0,0,34
Heroin ,0,0,3,3,5,6,16,14,32,36,31,26,24,90,102,93,79,60,30,9,3,2,664
Marijuana ,3,38,262,366,645,849,1503,1489,1259,1011,875,695,581,1912,1023,807,675,370,127,50,21,15,14576
Morphine ,0,0,0,0,1,0,4,3,1,2,1,1,3,6,5,3,4,2,2,0,0,0,38
Opium ,0,0,0,0,0,3,0,6,5,2,3,1,4,7,9,6,1,1,4,4,0,0,56
Other Narcotic ,0,3,8,6,9,10,14,22,29,16,19,20,12,70,86,88,49,55,53,8,4,4,585
LSD ,0,0,3,0,3,0,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,14
PCP ,0,0,0,0,0,0,3,1,2,4,2,0,2,3,7,4,4,2,0,0,0,0,34
Other Halucinogens ,0,0,1,0,0,0,5,8,4,6,4,4,4,7,1,1,1,1,0,0,0,0,47
Amphetamines/ Methamphetamines ,0,0,2,2,1,5,8,21,28,16,22,24,17,91,74,70,46,31,8,4,0,0,470
Other Stimulants ,0,0,4,1,2,3,4,3,6,1,5,4,3,11,6,1,2,1,0,1,0,0,58
Barbituates ,0,0,1,0,1,1,1,0,0,1,0,1,0,3,1,0,1,0,1,0,0,0,12
Other Depressants ,0,0,0,2,2,5,3,1,0,1,1,1,1,12,8,6,5,5,1,3,0,1,58
Other Drugs ,3,4,24,8,8,9,10,10,11,18,9,9,6,30,43,33,21,12,10,2,4,2,286
Unknown Drug Type ,0,2,42,37,57,77,167,167,159,142,123,111,126,354,281,259,228,116,64,10,10,7,2539
TOTAL ,7,50,372,456,782,1063,1988,2090,1811,1561,1432,1189,1065,3642,2476,2208,1884,1153,519,159,66,49,26022
Does not include the 154 drug equipment violation arrests ,,,,,,,,,,,,,,,,,,,,,,,
