Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter,267,0.24,3.61
Negligent Manslaughter,11,0.01,0.15
Kidnapping,703,0.63,9.52
Forcible Rape,418,0.37,5.66
Forcible Sodomy,232,0.21,3.14
Sexual Assault with an Object,93,0.08,1.26
Forcible Fondling of a Child,609,0.55,8.24
Robbery,1401,1.26,18.97
Aggravated Assault,4482,4.02,60.68
Simple Assault,32797,29.39,444.02
Intimidation,1512,1.36,20.47
Arson,327,0.29,4.43
Extortion/Blackmail,42,0.04,0.57
Burglary/Breaking & Entering,3773,3.38,51.08
Pocket-picking,217,0.19,2.94
Purse-snatching,31,0.03,0.42
Shoplifting,9991,8.95,135.26
Theft from Building,663,0.59,8.98
Theft from Coin-Operated Machine or Device,85,0.08,1.15
Theft from Motor Vehicle,510,0.46,6.9
Theft of Motor Vehicle Parts or Accessories,154,0.14,2.08
All Other Larceny,9365,8.39,126.79
Motor Vehicle Theft,1399,1.25,18.94
Counterfeiting/Forgery,2704,2.42,36.61
False Pretenses/Swindle/Confidence Game,1845,1.65,24.98
Credit Card/Automatic Teller Machine Fraud,366,0.33,4.96
Impersonation,360,0.32,4.87
Welfare Fraud,78,0.07,1.06
Wire Fraud,2,,0.03
Embezzlement,1408,1.26,19.06
Stolen Property Offenses,968,0.87,13.11
Destruction.Damage/Vandalism of Property,4088,3.66,55.35
Drug/Narcotic Violations,26022,23.32,352.3
Drug Equipment Violations,262,0.23,3.55
Incest,7,0.01,0.09
Statutory Rape,112,0.1,1.52
Pornography/Obscene Material,40,0.04,0.54
Betting/Wagering,59,0.05,0.8
Operating/Promoting/Assisting Gambling,2,,0.03
Gambling Equipment Violations,14,0.01,0.19
Sports Tampering,1,,0.03
Prostitution,456,0.41,6.17
Assisting or Promoting Prostitution,113,0.1,1.53
Bribery,17,0.02,0.23
Weapon Law Violations,3576,3.2,48.41
TOTAL,111582,100,1510.66
