Arrests by Offense,Accomack,,Albemarle ,,Alleghany ,,Amelia ,,Amherst ,,Appomattox,,Arlington,,Augusta,,Bath,,Bedford,,Bland,,Botetourt,,Brunswick ,,Buchanan ,,Buckingham ,,Campbell ,,Caroline ,,Carroll,,Charles City,,Charlotte,,Chesterfield,,Clarke,,Craig,,Culpeper,,Cumberland,,Dickenson,,Dinwiddie,,Essex,,Fairfax,,Fauquier,,Floyd,,Fluvanna,,Franklin,,Frederick,,Giles,,Gloucester,,Goochland,,Grayson,,Greene,,Greensville,,Halifax,,Hanover,,Henrico,,Henry,,Highland,,Isle of Wight,,James City,,King & Queen,,King George,,King William,,Lancaster,,Lee,,Loudoun,,Louisa,,Lunenburg,,Madison,,Mathews,,Mecklenburg,,Middlesex,,Montgomery,,Nelson,,New Kent,,Northampton,,Northumberland,,Nottoway,,Orange,,Page,,Patrick,,Pittsylvania,,Powhatan,,Prince Edward,,Prince George,,Prince William,,Pulaski,,Rappahannock,,Richmond,,Roanoke,,Rockbridge,,Rockingham,,Russell,,Scott,,Shenandoah,,Smyth,,Southampton,,Spotsylvania,,Stafford,,Surry,,Sussex,,Tazewell,,Warren,,Washington,,Westmoreland,,Wise,,Wythe,,York,,Total County,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,2,1,0,0,0,0,1,0,0,0,5,0,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,9,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,14,0,6,2,0,0,6,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,105,7
Manslaughter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
Kidnaping,1,0,6,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,3,0,1,0,2,0,1,0,7,0,7,0,5,0,0,0,8,0,0,0,2,0,29,4,0,0,0,0,4,1,1,0,1,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,4,0,1,0,0,0,2,0,5,0,7,1,2,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,38,2,0,0,0,0,0,0,10,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,1,0,16,4,0,0,0,0,3,0,2,0,6,0,2,0,7,0,1,0,13,0,292,14
"Sex Offenses, Forcible",0,11,15,1,3,0,1,3,13,0,3,0,25,6,28,3,0,0,4,0,0,0,3,6,1,0,6,0,8,1,6,1,6,1,12,0,1,0,4,0,53,48,1,0,2,0,7,5,4,0,0,0,1,0,6,0,23,0,5,2,0,0,1,0,7,1,4,2,4,1,8,0,0,0,3,0,4,0,2,1,5,2,12,4,21,5,13,1,0,0,7,5,12,4,0,0,0,1,3,0,1,0,5,1,9,5,2,0,6,2,2,0,0,0,6,3,0,0,8,2,1,0,2,0,3,2,6,4,1,0,3,1,3,0,4,1,9,4,3,0,2,0,1,0,35,23,6,1,1,0,4,0,12,1,0,0,6,5,1,0,4,1,0,0,7,4,0,1,9,8,22,11,1,1,1,1,11,5,7,0,11,0,2,5,6,3,8,0,8,2,586,212
Robbery,9,1,5,0,0,0,0,0,1,0,1,0,26,12,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,4,0,2,0,0,0,1,0,48,19,0,0,0,0,6,0,0,0,0,0,0,0,1,0,22,4,10,1,2,0,1,0,11,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,10,5,86,15,17,0,0,0,3,5,9,1,0,0,1,0,0,0,0,0,5,0,10,9,2,0,3,0,0,0,0,0,4,0,0,0,7,0,0,0,1,0,5,0,1,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,3,0,72,32,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,19,5,0,0,0,0,5,0,6,0,2,0,0,0,0,0,3,0,1,2,464,115
Aggravated Assault,9,2,15,4,10,0,1,0,7,0,0,0,50,6,21,0,0,0,13,0,0,0,11,1,21,4,32,0,14,5,17,0,54,3,37,0,4,1,16,0,113,66,12,0,3,0,23,6,7,1,7,0,1,0,7,2,90,2,27,5,0,0,5,2,16,2,22,2,18,2,15,2,13,0,13,0,5,0,6,0,16,0,19,5,236,28,73,6,0,0,14,2,20,5,0,0,12,6,5,0,3,0,43,0,69,12,4,1,2,0,0,0,1,0,33,5,5,0,27,5,5,0,6,2,2,3,8,0,14,0,16,4,4,0,24,0,34,7,3,1,13,0,10,1,143,36,24,2,0,0,5,0,46,4,1,1,10,0,8,0,22,0,8,2,12,0,7,0,44,10,47,19,9,2,7,2,21,1,8,0,33,2,20,1,68,2,12,2,10,5,2021,302
Simple Assault/Intimidation,142,6,298,23,168,2,62,8,116,0,25,18,466,94,149,12,0,0,192,22,4,0,72,9,39,3,189,1,111,23,294,11,104,7,225,4,16,0,139,0,1136,1054,14,0,25,0,211,27,73,5,17,0,5,0,48,9,945,26,191,18,0,1,52,7,66,4,276,17,72,1,102,12,1,0,90,0,36,4,5,0,134,7,235,50,1036,280,359,30,0,0,135,13,198,81,0,0,92,22,49,1,28,7,182,1,519,58,45,1,57,7,27,0,13,3,132,13,17,5,217,9,22,5,62,24,63,8,48,4,74,4,98,6,21,0,99,2,402,13,68,3,51,0,65,5,1104,264,170,11,15,0,28,0,460,32,2,0,68,4,184,1,139,0,170,20,219,5,31,0,324,33,525,171,53,3,53,1,164,15,197,2,298,10,95,11,358,43,85,4,136,20,15602,2740
Arson,0,0,1,3,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,8,4,1,1,0,0,0,3,4,3,0,0,1,0,0,0,1,1,6,1,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,1,8,2,1,1,0,2,0,2,0,0,0,0,0,4,0,2,0,2,1,15,1,0,0,2,2,2,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,4,3,106,64
Extortion/Blackmail,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
