Date,,Offense,Street,Subdivision,Zip,E.D.,Area
11/25/2002,CITIZEN REQUESTED ASSISTANCE,,ALICE COURT,282,23692,3,200
6/27/2002,MOTOR VEHICLE THEFT,,ALLEN HARRIS DRIVE,182,23692,3,200
10/6/2002,DAMAGE,"PROPERTY, PRIVATE",ALLEN HARRIS DRIVE,182,23692,3,200
11/11/2002,DAMAGE,"PROPERTY, PRIVATE",ALLEN HARRIS DRIVE,182,23692,3,200
7/26/2002,"LARCENY,FROM MOTOR VEHICLE",,BAILEY DRIVE,106,23692,4,100
4/10/2002,OBSCENE/THREATENING PHONE CALL,,BAILEY ROAD,107,23692,4,100
7/15/2002,GRAND LARCENY,,BAILEY ROAD,107,23692,4,100
3/16/2002,DAMAGE,"PROPERTY, PRIVATE",BARCROFT DRIVE,7,23692,4,200
3/17/2002,DAMAGE,"PROPERTY, PRIVATE",BARCROFT DRIVE,7,23692,4,200
9/21/2002,CITIZEN REQUESTED ASSISTANCE,,BARCROFT DRIVE,7,23692,4,200
4/4/2002,"ASSAULT, SIMPLE, DOMESTIC",,BARFLEUR PLACE,239,23692,4,100
11/6/2002,DEAD ON ARRIVAL,,BASTA DRIVE,222,23692,3,200
7/15/2002,ABDUCTION & KIDNAPPING,,BATTERY CIRCLE,195,23692,4,100
8/15/2002,PETIT LARCENY,,BATTLE & GEORGE WASH M,8,23692,3,200
1/2/2002,"LARCENY,FROM MOTOR VEHICLE",,BATTLE ROAD,8,23692,3,200
5/22/2002,RUNAWAY JUVENILE,,BATTLE ROAD,8,23692,3,200
6/22/2002,CITIZEN REQUESTED ASSISTANCE,,BATTLE ROAD,8,23692,3,200
7/6/2002,PETIT LARCENY,,BATTLE ROAD,8,23692,3,200
7/9/2002,RUNAWAY JUVENILE,,BATTLE ROAD,8,23692,3,200
11/8/2002,"LARCENY,FROM MOTOR VEHICLE",,BATTLE ROAD,8,23692,3,200
11/9/2002,DAMAGE,"PROPERTY, PRIVATE",BATTLE ROAD,8,23692,3,200
3/5/2002,DAMAGE,"PROPERTY, PRIVATE",BATTLE ROAD & OLD YORK,8,23692,3,200
12/17/2002,PETIT LARCENY,,BEECHAM DRIVE,96,23692,4,100
3/22/2002,PERSONAL TRESPASS BY COMPUTER,,BLAIR DRIVE,182,23692,3,200
5/17/2002,DAMAGE,"PROPERTY, PRIVATE",BOATHOUSE COVE,254,23692,4,200
6/24/2002,DAMAGE,"PROPERTY, PRIVATE",BOLIVAR DRIVE,83,23692,1,200
8/22/2002,DAMAGE,"PROPERTY, PRIVATE",BOLIVAR DRIVE,83,23692,1,200
10/7/2002,"ASSAULT, SIMPLE, DOMESTIC",,BOLIVAR DRIVE,83,23692,1,200
10/14/2002,"LARCENY,FROM MOTOR VEHICLE",,BOLIVAR DRIVE,83,23692,1,200
12/9/2002,DAMAGE,"PROPERTY, PRIVATE",BONITA DRIVE,126,23692,4,200
2/11/2002,PETIT LARCENY,,BRANDON WAY,110,23692,4,100
2/13/2002,DAMAGE,"PROPERTY, PRIVATE",BRANDON WAY,110,23692,4,100
2/17/2002,GRAND LARCENY,,BRANDON WAY,110,23692,4,100
6/19/2002,ARSON,,BRANDON WAY,110,23692,4,100
2/17/2002,ILLEGAL SALE OF ALCOHOLIC BEVE,,BRANDYWINE DRIVE,12,23692,4,200
2/17/2002,UNLAWFUL PURCHASE OR POSSESS A,,BRANDYWINE DRIVE,12,23692,4,200
4/20/2002,ANNOYING PHONE CALLS,,BRANDYWINE DRIVE,12,23692,4,200
6/9/2002,"LARCENY,FROM MOTOR VEHICLE",,BRANDYWINE DRIVE,12,23692,4,200
6/24/2002,CITIZEN REQUESTED ASSISTANCE,,BRANDYWINE DRIVE,12,23692,4,200
9/30/2002,"ASSAULT, SIMPLE",,BREEZY POINT & CARLTON,13,23692,4,100
8/8/2002,PETIT LARCENY,,BRIDGE LANE,15,23692,3,200
10/16/2002,"LARCENY,FROM MOTOR VEHICLE",,BRIDGE LANE,15,23692,3,200
1/4/2002,"BURGLARY, RESIDENTIAL",,BRIGADE DRIVE,12,23692,4,100
6/24/2002,DAMAGE,"PROPERTY, PRIVATE",BRIGADE DRIVE,12,23692,4,100
6/29/2002,DAMAGE,"PROPERTY, PRIVATE",BRIGADE DRIVE,12,23692,4,100
7/19/2002,GRAND LARCENY,,BRIGADE DRIVE,12,23692,4,100
8/25/2002,DAMAGE,"PROPERTY, PRIVATE",BRIGADE DRIVE,12,23692,4,100
3/18/2002,"ASSAULT, SIMPLE",,BROOK LANE,268,23692,4,100
6/10/2002,STALKING,,BROOK LANE,268,23692,4,100
5/12/2002,CITIZEN REQUESTED ASSISTANCE,,BROOK LANE,268,23692,4,100
6/28/2002,CITIZEN REQUESTED ASSISTANCE,,BROOK LANE,268,23692,4,100
8/28/2002,CITIZEN REQUESTED ASSISTANCE,,BROOK LANE,268,23692,4,100
7/8/2002,DAMAGE,"PROPERTY, PRIVATE",BROOK LANE,268,23692,4,100
1/1/2002,DAMAGE,"PROPERTY, PRIVATE",BRYON ROAD,55,23692,3,200
