Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Greene County Sheriff's Office,08/10/2010,11-FS22810,01,$554.00 U.S. CURRENCY,Pending,$554.00,08/16/2010,,,,$0.00,
Greene County Sheriff's Office,06/29/2011,12-FS18816,01,2000 CHEVROLET TAHOE,Pending,"$8,000.00",07/07/2011,,,,$0.00,
Greene County Sheriff's Office,08/14/2011,12-FS23001,01,"$1,889.54 U.S. CURRENCY",Forfeiture,"$1,889.54",08/18/2011,04/09/2013,,,"$1,889.54",04/09/2013
Greene County Sheriff's Office,08/14/2011,12-FS23001,02,SINGLE WIDE MOBILE HOME AT 30 HASTINGS LN,Pending,"$5,000.00",08/18/2011,,,,$0.00,
Greene County Sheriff's Office,09/27/2011,12-FS27604,01,2001 BMW CI,Forfeiture,"$1,000.00",10/03/2011,12/04/2013,,,"$6,000.00",12/04/2013
Greene County Sheriff's Office,09/27/2011,12-FS27604,02,2010 CHEVROLET CAMARO,Forfeiture,"$15,000.00",10/03/2011,12/04/2013,,,"$21,974.00",12/04/2013
Greene County Sheriff's Office,09/27/2011,12-FS27604,03,1968 CHEVROLET CAMARA,Return To Owner,"$10,000.00",10/03/2011,01/17/2013,,,$0.00,01/17/2013
Greene County Sheriff's Office,09/27/2011,12-FS27604,04,2000 FORD EXPEDITION,Forfeiture,"$5,000.00",10/03/2011,01/17/2013,,,"$3,117.89",01/17/2013
Greene County Sheriff's Office,09/27/2011,12-FS27604,05,1995 JEEP WRANGLER,Forfeiture,"$2,500.00",10/03/2011,01/17/2013,,,"$3,392.90",01/17/2013
Greene County Sheriff's Office,09/27/2011,12-FS27604,06,1978 Chevrolet Camaro,Forfeiture,$500.00,10/03/2011,01/17/2013,,,$0.00,01/17/2013
Greene County Sheriff's Office,09/27/2011,12-FS27604,07,1982 Chevrolet Camaro,Forfeiture,$500.00,10/03/2011,01/17/2013,,,$0.00,01/17/2013
Greene County Sheriff's Office,09/27/2011,13-FS04403,01,1971 CHEVROLET  EL CAMINO,Forfeiture,"$2,600.00",02/13/2013,01/17/2013,,,"$2,512.89",01/17/2013
Greene County Sheriff's Office,09/27/2011,13-FS04403,02,1996 INTERNATIONAL  ROLLBACK,Forfeiture,"$10,000.00",02/13/2013,01/17/2013,,,"$8,937.90",01/17/2013
Greene County Sheriff's Office,11/10/2011,12-FS32003,01,2004 Dodge 1500,Pending,$500.00,11/16/2011,,,,$0.00,
Greene County Sheriff's Office,09/27/2012,13-FS34909,01,"$24,692.82 U.S. Currency",Forfeiture,"$24,692.82",12/14/2012,06/11/2013,,,"$24,692.82",06/11/2013
Greene County Sheriff's Office,11/12/2014,15-FS32242,01,1999 MAZDA  626,Pending,"$1,550.00",11/18/2014,,,,$0.00,
