Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Augusta County Sheriff's Department,03/05/2009,10-FS00405,01,$670.00 U.S. CURRENCY,Forfeiture,$670.00,01/04/2010,01/04/2010,,,$670.00,01/04/2010
Augusta County Sheriff's Department,04/03/2010,10-FS11607,01,1996 LINCOLN TOWN CAR,Forfeiture,"$2,000.00",04/26/2010,01/03/2011,,,$0.00,01/03/2011
Augusta County Sheriff's Department,04/03/2010,10-FS11607,02,"$1,846.00 U.S. CURRENCY",Forfeiture,"$1,846.00",04/26/2010,10/01/2010,,,"$1,846.00",10/01/2010
Augusta County Sheriff's Department,05/13/2010,10-FS14010,01,$860.00 U.S. CURRENCY,Forfeiture,$860.00,05/20/2010,01/11/2011,,,$860.00,01/11/2011
Augusta County Sheriff's Department,05/21/2010,10-FS14602,01,2005 CHEVROLET EXPRESS,Dismissal,"$9,000.00",05/26/2010,11/13/2014,,,$0.00,11/13/2014
Augusta County Sheriff's Department,05/21/2010,10-FS14602,02,"$10,952.00 U.S. CURRENCY",Dismissal,"$10,952.00",05/26/2010,11/13/2014,,,$0.00,11/13/2014
Augusta County Sheriff's Department,05/21/2010,10-FS14602,03,BANK OF AMERICA ACCT #446006895886,Dismissal,$500.00,05/26/2010,11/13/2014,,,$0.00,11/13/2014
Augusta County Sheriff's Department,05/21/2010,10-FS14602,04,COMMERCE BANK ACCT #3980332864,Dismissal,$500.00,05/26/2010,11/13/2014,,,$0.00,11/13/2014
Augusta County Sheriff's Department,05/21/2010,10-FS14602,05,WACHOVIA ACCT # 010195231074,Dismissal,$500.00,05/26/2010,11/13/2014,,,$0.00,11/13/2014
Augusta County Sheriff's Department,05/21/2010,10-FS14602,07,BB&T BANK ACCT # 604403367,Dismissal,$500.00,05/26/2010,11/13/2014,,,$0.00,11/13/2014
Augusta County Sheriff's Department,05/21/2010,10-FS14602,08,BB& T ACCT # 0000150334705,Dismissal,$500.00,05/26/2010,11/13/2014,,,$0.00,11/13/2014
Augusta County Sheriff's Department,05/21/2010,10-FS14602,09,BB& T ACCT # 0158209764,Dismissal,$500.00,05/26/2010,11/13/2014,,,$0.00,11/13/2014
Augusta County Sheriff's Department,09/03/2010,11-FS27401,01,1999 JEEP CHEROKEE,Forfeiture,"$2,000.00",10/01/2010,05/25/2012,,,"$1,668.11",05/25/2012
Augusta County Sheriff's Department,05/21/2011,13-FS21201,01,"$2,745.00 us currency",Forfeiture,"$2,745.00",07/30/2012,07/17/2012,,,$645.00,07/17/2012
Augusta County Sheriff's Department,08/29/2012,13-FS25101,01,2008 MAZDA 3,Pending,"$3,000.00",09/07/2012,,,,$0.00,
Augusta County Sheriff's Department,08/29/2012,13-FS25101,02,"$3,849.00 US CURRENCY",Pending,"$3,849.00",09/07/2012,,,,$0.00,
Augusta County Sheriff's Department,11/27/2012,13-FS34807,01,"$7,259.19 U.S. Currency",Forfeiture,"$7,259.19",12/13/2012,04/21/2014,,,"$7,259.19",04/21/2014
Augusta County Sheriff's Department,01/04/2013,13-FS01107,01,1989 MAZADA  TRUCK,Pending,$800.00,01/11/2013,,,,$0.00,
Augusta County Sheriff's Department,01/31/2013,13-FS05614,01,"$3,000.00 U.S. Currency",Forfeiture,"$3,000.00",02/25/2013,03/08/2013,,,"$3,000.00",03/08/2013
Augusta County Sheriff's Department,02/08/2013,13-FS05107,01,"$6,203.00 U.S. Currency",Dismissal,"$6,203.00",02/20/2013,11/14/2014,,,$0.00,11/14/2014
Augusta County Sheriff's Department,03/02/2013,13-FS06310,01,"$2,245.00 U.S. Currency",Forfeiture,"$2,245.00",03/11/2013,07/18/2013,,,"$2,245.00",07/18/2013
Augusta County Sheriff's Department,06/05/2013,13-FS16103,01,1994 CHEVROLET  Corvette,Pending,"$7,800.00",06/11/2013,,,,$0.00,
Augusta County Sheriff's Department,06/05/2013,13-FS16103,02,2000 CHEVROLET TRUCK  Tahoe-V8,Pending,"$2,000.00",06/11/2013,,,,$0.00,
Augusta County Sheriff's Department,06/05/2013,13-FS16103,03,"$2,946.00 U.S. Currency",Pending,"$2,946.00",06/11/2013,,,,$0.00,
Augusta County Sheriff's Department,06/09/2013,13-FS16803,01,$992.00 U.S. Currency,Forfeiture,$992.00,06/17/2013,07/16/2013,,,$992.00,07/16/2013
Augusta County Sheriff's Department,09/18/2013,14-FS26817,01,"$2,418.00 U.S. Currency",,"$2,418.00",09/25/2013,,,,$0.00,
Augusta County Sheriff's Department,09/18/2013,14-FS26817,02,2001 FORD TRUCK  Expedition-V8,,"$2,500.00",09/25/2013,,,,$0.00,
Augusta County Sheriff's Department,05/30/2014,14-FS15504,01,1999 FORD TRUCK  F150 Pickup-V8,Pending,"$3,600.00",06/04/2014,,,,$0.00,
Augusta County Sheriff's Department,05/30/2014,14-FS15504,02,"$3,798.00 U.S. Currency",Pending,"$3,798.00",06/04/2014,,,,$0.00,
Augusta County Sheriff's Department,06/20/2014,15-FS18403,01,"$3,457.00 U.S. Currency",Return To Owner,"$3,457.00",07/07/2014,12/05/2014,,,$0.00,12/05/2014
Augusta County Sheriff's Department,10/16/2014,15-FS29631,01,"$1,230.00 U.S. Currency",Pending,"$1,230.00",10/23/2014,,,,$0.00,
Augusta County Sheriff's Department,10/16/2014,15-FS29633,01,"$1,436.00 U.S. Currency",Pending,"$1,436.00",10/23/2014,,,,$0.00,
Augusta County Sheriff's Department,10/16/2014,15-FS29633,02,2001 CHEVROLET  Cavalier-L4,Pending,"$1,500.00",10/23/2014,,,,$0.00,
