Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Charlottesville Police Department,10/06/2008,09-FS28004,01,"$1,050.00 U.S. CURRENCY",Pending,"$1,050.00",10/06/2008,,,,$0.00,
Charlottesville Police Department,07/16/2009,10-FS19803,01,$624.00 U.S. CURRENCY,Pending,$624.00,07/17/2009,,,,$0.00,
Charlottesville Police Department,01/28/2010,10-FS03302,01,$900.00 U.S. CURRENCY,Forfeiture,$900.00,02/02/2010,12/17/2010,,,$900.00,12/17/2010
Charlottesville Police Department,08/13/2010,11-FS10101,01,"$8,483.00 U.S. CURRENCY",Forfeiture,"$8,483.00",04/11/2011,03/25/2011,,,"$8,483.00",03/25/2011
Charlottesville Police Department,11/01/2010,11-FS31910,01,$755.00 U.S. CURRENCY,Forfeiture,$755.00,11/15/2010,03/25/2011,,,$755.00,03/25/2011
Charlottesville Police Department,11/12/2010,11-FS31911,01,$806.00 U.S. CURRENCY,Forfeiture,$806.00,11/15/2010,03/25/2011,,,$806.00,03/25/2011
Charlottesville Police Department,02/17/2011,11-FS09511,01,$619.00 U.S. CURRENCY,Pending,$619.00,04/05/2011,,,,$0.00,
Charlottesville Police Department,03/14/2011,11-FS08003,01,"$3,534.00  U.S. CURRENCY",Pending,"$3,534.00",03/21/2011,,,,$0.00,
Charlottesville Police Department,05/12/2011,11-FS13601,01,"$1,795.40 U.S. CURRENCY",Forfeiture,"$1,795.40",05/16/2011,10/12/2011,,,"$1,795.40",10/12/2011
Charlottesville Police Department,05/23/2011,11-FS14403,01,"$1,420.00 U.S. CURRENCY",Forfeiture,"$1,420.00",05/24/2011,10/12/2011,,,"$1,420.00",10/12/2011
Charlottesville Police Department,10/21/2011,12-FS29707,01,$580.00 U.S. CURRENCY,Forfeiture,$580.00,10/24/2011,04/12/2012,,,$580.00,04/12/2012
Charlottesville Police Department,01/08/2012,12-FS01103,01,"$1,000.00 U.S. CURRENCY",Forfeiture,"$1,000.00",01/11/2012,04/12/2012,,,"$1,000.00",04/12/2012
Charlottesville Police Department,09/30/2012,13-FS27602,01,2012 DODGE 3500 CREW CAB FLATBED TK,Forfeiture,"$40,000.00",10/02/2012,08/27/2014,09/23/2014,,"$3,047.90",09/23/2014
Charlottesville Police Department,09/30/2012,13-FS27602,02,"$1,870.00 US CURRENCY",Return To Owner,"$1,870.00",10/02/2012,08/26/2014,,,$0.00,08/26/2014
Charlottesville Police Department,09/30/2012,13-FS27603,01,"$11,245.00 US CURRENCY",Forfeiture,"$11,245.00",10/02/2012,08/27/2014,,,"$11,245.00",08/27/2014
Charlottesville Police Department,09/30/2012,13-FS27604,01,2011 MIRAGE XTERA CARGO ENCLOSED TRAILER,Return To Owner,"$15,000.00",10/02/2012,08/26/2014,,,$0.00,08/26/2014
Charlottesville Police Department,03/23/2013,13-FS09107,01,"$1,132.00 U.S. Currency",Forfeiture,"$1,132.00",04/01/2013,03/19/2014,,,"$1,132.00",03/19/2014
Charlottesville Police Department,03/23/2013,13-FS09108,01,"$4,620.00 U.S. Currency",Forfeiture,"$4,620.00",04/01/2013,03/19/2014,,,"$4,620.00",03/19/2014
Charlottesville Police Department,12/13/2013,14-FS02728,01,"$1,151.10 U.S. Currency",Pending,"$1,151.10",01/27/2014,,,,$0.00,
