CRIME CATEGORY,ADULT,ADULT,ADULT,JUVENILE,JUVENILE,JUVENILE,TOTAL,TOTAL,TOTAL
ARRESTS,2008,2009,CHANGE,2008,2009,CHANGE,2008 TOTAL,2009 TOTAL,CHANGE TOTAL
Homicide Intentional,3,4,33.3%,0,2,N/C,3,6,100.0%
Sex Offense Rape Forcible,8,3,62.5%,0,0,N/C,8,3,-62.5%
Robbery,53,57,7.5%,49,37,-24.5%,102,94,-7.8%
Aggravated Assault,88,62,29.5%,22,9,-59.1%,110,71,-35.5%
Burglary,80,70,-12.5%,15,11,-26.7%,95,81,-14.7%
Larceny (Theft),498,472,-5.2%,151,162,7.3%,649,634,-2.3%
Grand Larceny Auto (GLA),43,23,-46.5%,7,17,142.9%,50,40,-20.0%
Other Assault,541,476,-12.0%,94,106,12.8%,635,582,-8.3%
Arson,1,1,0.0%,0,2,N/C,1,3,200.0%
Forgery & Counterfeit,23,47,104.3%,3,1,-66.7%,26,48,84.6%
Fraud,86,128,48.8%,1,2,100.0%,87,130,49.4%
Embezzlement,52,58,11.5%,13,5,-61.5%,65,63,-3.1%
Stolen Property,6,13,116.7%,3,13,333.3%,9,26,188.9%
Vandalism,136,122,-10.3%,23,26,13.0%,159,148,-6.9%
Weapons,31,22,-29.0%,13,11,-15.4%,44,33,-25.0%
Prostitution,26,38,46.2%,0,0,N/C,26,38,46.2%
Sex Offense Other,30,14,-53.3%,2,5,150.0%,32,19,-40.6%
Drug Abuse Violation,409,427,4.4%,53,67,26.4%,462,494,6.9%
Gambling,28,13,-53.6%,4,2,-50.0%,32,15,-53.1%
D.W.I.,512,479,-6.4%,3,1,-66.7%,515,480,-6.8%
Liquor Laws,654,655,0.2%,84,123,46.4%,738,778,5.4%
Drunkeness,"1,040",782,-24.8%,5,9,80.0%,"1,045",791,-24.3%
Disorderly Conduct,183,174,-4.9%,16,20,25.0%,199,194,-2.5%
All Other Offenses,"1,801","1,898",5.4%,362,454,25.4%,"2,163","2,352",8.7%
Total,"6,332","6,038",-4.6%,923,"1,085",17.6%,"7,255","7,123",-1.8%
