Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,,,,,,
 APPENDIX 2, APPENDIX 2, APPENDIX 2,,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines
,,,,,,,Offenses Against the Person,Offenses Against the Person,Offenses Against the Person
,,,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual,Assault
Reasons,for,MITIGATION,(N=235),(N=28),(N=23),(N=247),(N=40),(N=69),(N=69)
Plea agreement,Plea agreement,Plea agreement,91,11,8,46,11,28,28
No reason given,No reason given,No reason given,40,2,3,32,4,5,
Minimal circumstances/facts of the case,Minimal circumstances/facts of the case,Minimal circumstances/facts of the case,22,3,4,17,3,10,10
Offender cooperated with authorities,Offender cooperated with authorities,Offender cooperated with authorities,5,1,0,39,0,2,
Mitigating court circumstances/proceedings,Mitigating court circumstances/proceedings,Mitigating court circumstances/proceedings,16,2,0,18,4,7,
Judicial discretion,Judicial discretion,Judicial discretion,13,0,2,28,2,4,
Offender has minimal/no prior record,Offender has minimal/no prior record,Offender has minimal/no prior record,11,1,1,18,4,8,
Sentenced to Department of Juvenile Justice,Sentenced to Department of Juvenile Justice,Sentenced to Department of Juvenile Justice,6,2,1,26,3,1,
Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,8,0,2,19,5,2,
"Offender issues (age of offender, homeless, family issues, etc.)","Offender issues (age of offender, homeless, family issues, etc.)","Offender issues (age of offender, homeless, family issues, etc.)",4,2,1,19,3,3,
Victim request,Victim request,Victim request,12,0,4,5,3,3,
Offender not the leader,Offender not the leader,Offender not the leader,3,1,0,21,0,0,
"Offender health (mental, physical, emotional, etc.)","Offender health (mental, physical, emotional, etc.)","Offender health (mental, physical, emotional, etc.)",7,0,2,9,0,4,
Offender has good potential for rehabilitation,Offender has good potential for rehabilitation,Offender has good potential for rehabilitation,4,0,0,11,3,4,
Victim cannot/will not testify,Victim cannot/will not testify,Victim cannot/will not testify,7,1,0,3,4,6,
Jury sentence,Jury sentence,,1,5,0,8,3,1,
Offender is sentenced to an alternative punishment,Offender is sentenced to an alternative punishment,Offender is sentenced to an alternative punishment,4,0,0,13,0,0,
Little or no injury/offender did not intend to harm,Little or no injury/offender did not intend to harm,Little or no injury/offender did not intend to harm,10,0,1,2,0,0,
Offender's progress in rehabilitation,Offender's progress in rehabilitation,Offender's progress in rehabilitation,6,0,2,2,0,4,
"Concealed weapon, but was not a firearm","Concealed weapon, but was not a firearm","Concealed weapon, but was not a firearm",1,0,0,12,0,0,
Victim's role in the offense,Victim's role in the offense,Victim's role in the offense,3,5,0,3,0,1,
Offender needs rehabilitation,Offender needs rehabilitation,Offender needs rehabilitation,3,0,0,5,0,1,
"Type of victim (drug dealer, relative, friend, etc.)","Type of victim (drug dealer, relative, friend, etc.)","Type of victim (drug dealer, relative, friend, etc.)",7,0,1,1,0,0,
Judge had an issue scoring one of the guidelines factors,Judge had an issue scoring one of the guidelines factors,Judge had an issue scoring one of the guidelines factors,2,0,0,5,0,1,
Multiple charges/events are being treated as one event,Multiple charges/events are being treated as one event,Multiple charges/events are being treated as one event,0,0,0,6,1,1,
