Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”,Name: “Table 1 of 1 on page 98 of 98”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,,,,,,,,
 APPENDIX 4, APPENDIX 4, APPENDIX 4, APPENDIX 4,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,Sentencing Guidelines Compliance by Judicial Circuit: Offenses Against the Person,,
,ROBBERY,ROBBERY,ROBBERY,,,,,RAPE,,,,OTHER SEXUAL ASSAULT,OTHER SEXUAL ASSAULT,OTHER SEXUAL ASSAULT,OTHER SEXUAL ASSAULT
,,,,,s,,,,,,,,,,
,,,,,e,,,,,,,,,,
,,,,,s,,,,,,,,,,
,,,,,a,,,,,,,,,,
,,,,,C,,,,,,,,,,
1,65.0 %,32.5,%,2.5 %,40,1,75.0 %,25.0 %,0.0 %,8,1,75.0%,0.0%,25.0 %,4
2,67.5,25.3,,7.2,83,2,75.0,12.5,12.5,8,2,66.7,16.7,16.7,24
3,61.5,26.9,,11.5,26,3,40.0,20.0,40.0,5,3,80.0,0.0,20.0,5
4,57.7,35.9,,6.4,78,4,77.8,22.2,0.0,9,4,83.3,11.1,5.6,18
5,57.9,31.6,,10.5,19,5,50.0,33.3,16.7,6,5,36.4,9.1,54.5,11
6,50.0,37.5,,12.5,16,6,100,0.0,0.0,2,6,70.0,10.0,20.0,10
7,71.7,17.4,,10.9,46,7,70.0,10.0,20.0,10,7,90.9,9.1,0.0,11
8,69.2,26.9,,3.8,26,8,100.0,0.0,0.0,2,8,80.0,20.0,0.0,5
9,20.0,20.0,,60.0,15,9,75.0,0.0,25.0,4,9,71.4,9.5,19.0,21
10,50.0,25.0,,25.0,8,10,100,0.0,0.0,3,10,82.6,0.0,17.4,23
11,53.3,26.7,,20.0,15,11,33.3,33.3,33.3,3,11,70.0,20.0,10.0,10
12,50.0,36.4,,13.6,44,12,40.0,40.0,20.0,5,12,69.2,11.5,19.2,26
13,62.6,30.8,,6.5,107,13,62.5,37.5,0.0,8,13,66.7,11.1,22.2,9
14,73.6,18.9,,7.5,53,14,63.6,9.1,27.3,11,14,72.7,9.1,18.2,11
15,53.2,38.3,,8.5,47,15,69.2,30.8,0.0,13,15,62.2,17.8,20.0,45
16,65.0,30.0,,5.0,20,16,88.9,0.0,11.1,9,16,64.0,8.0,28.0,25
17,72.7,0.0,,27.3,11,17,80.0,0.0,20.0,5,17,30.0,20.0,50.0,10
18,50.0,43.8,,6.3,16,18,100,0.0,0.0,1,18,83.3,0.0,16.7,6
19,66.7,27.1,,6.3,48,19,75.0,16.7,8.3,12,19,70.5,4.9,24.6,61
20,55.6,44.4,,0.0,9,20,57.1,0.0,42.9,7,20,53.8,23.1,23.1,13
21,60.0,40.0,,0.0,15,21,100,0.0,0.0,2,21,50.0,0.0,50.0,2
22,71.4,4.8,,23.8,21,22,54.5,18.2,27.3,11,22,66.7,16.7,16.7,6
23,43.8,50.0,,6.3,16,23,44.4,44.4,11.1,9,23,52.9,41.2,5.9,17
24,58.8,5.9,,35.3,17,24,100,0.0,0.0,5,24,82.8,6.9,10.3,29
25,62.5,25.0,,12.5,8,25,54.5,36.4,9.1,11,25,73.1,11.5,15.4,26
26,70.4,22.2,,7.4,27,26,72.7,18.2,9.1,11,26,53.2,19.1,27.7,47
27,100,0.0,,0.0,10,27,70.0,30.0,0.0,10,27,67.9,17.9,14.3,28
28,63.6,18.2,,18.2,11,28,100,0.0,0.0,1,28,60.0,0.0,40.0,5
29,20.0,40.0,,40.0,5,29,87.5,12.5,0.0,8,29,55.6,11.1,33.3,18
30,100,0.0,,0.0,1,30,0.0,0.0,100,1,30,60.0,20.0,20.0,10
31,57.1,38.1,,4.8,21,31,63.6,18.2,18.2,11,31,81.6,5.3,13.2,38
Total,61.8,28.2,,10.0,879,Total,68.2,19.0,12.8,211,Total,67.8,12.2,20.0,574
