Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”
Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89
,,,,,,
 APPENDIX 2,,,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines
,,,,,Offenses Against the Person,Offenses Against the Person
,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual Assault
Reasons for AAGGGGRRAAVVA TION,(N=181),(N=59),(N=23),(N=88),(N=27),(N=115)
Aggravating circumstances/flagrancy of offense,31,15,4,20,6,32
Plea agreement,26,8,5,19,3,21
No reason given,33,8,2,11,3,14
"Degree of victim injury (physical, emotional, etc.)",37,6,3,9,3,8
Jury sentence,19,16,1,13,10,6
Offender has poor rehabilitation potential,23,7,5,10,0,11
"Type of victim (child, etc.)",6,1,5,9,8,27
Offender has extensive prior record/same type of prior offense,18,5,1,8,1,4
Degree of violence toward victim,19,2,1,6,1,0
Number of violations/counts in the event,10,3,0,5,1,9
True offense behavior was more serious than offenses at conv.,7,3,0,3,0,5
Offense involved a high degree of planning/violation of trust,1,1,1,2,1,7
Guidelines recommendation is too low,1,1,0,2,1,5
Facts of sex offense,0,0,0,0,0,9
"Victim circumstances (facts of the case, etc.)",2,1,0,4,1,1
Seriousness of offense,5,1,0,0,0,2
Violent/disruptive behavior in custody,3,0,3,0,0,1
Mandatory minimum involved in event,3,0,0,3,0,1
Sentencing guidelines not appropriate,1,0,0,5,0,0
Offender used a weapon in commission of the offense,1,0,2,3,0,0
Offender violated protective order or was stalking,1,1,2,0,0,0
Victim request,0,0,0,2,2,0
Gang-related offense,1,0,1,1,0,0
Current offense involves drugs/alcohol,0,3,0,0,0,0
Judge thought sentence was in compliance,1,1,0,1,0,0
Prior record not adequately weighed by guidelines,1,1,0,1,0,0
"Judicial discretion (time served, shock incarceration, etc.)",0,1,0,0,1,1
"Offender issues (age of offender, homeless, lacks support, etc.)",3,0,0,0,0,0
Illegible written reason,0,0,1,0,0,1
Offender is sentenced to an alternative punishment,2,0,0,0,0,0
Offender failed to cooperate with authorities,0,1,1,0,0,0
Poor conduct since commission of offense,1,0,0,0,1,0
Current offense involves accident/reckless driving,0,2,0,0,0,0
Multiple offenses in the sentencing event,0,0,0,2,0,0
"Offender health (mental, physical, emotional, etc.)",2,0,0,0,0,0
Poor sex offender rehabilitation potential,0,0,0,0,0,2
Sentenced to Department of Juvenile Justice,0,0,0,2,0,0
Aggravating court circumstances/proceedings,0,0,1,0,0,0
Sentence recommended by Commonwealth Attorney,0,0,0,1,0,0
Offender's substance abuse issues,0,0,0,0,0,1
Offender was the leader,0,0,0,1,0,0
,259,88,40,143,43,168
Note: Figures indicate the number of times a departure reason was cited.,Note: Figures indicate the number of times a departure reason was cited.,,,,,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,
