Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”,Name: “Table 1 of 1 on page 91 of 98”
Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87
,,,,,,,,,,,
 APPENDIX 1, APPENDIX 1, APPENDIX 1,,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines
,,,,,,"Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses"
,,,Burg. of,Burg. Other,Sch. I/II,Other,,,,,
,,,Dwelling,Structure,Drugs,Drugs,Fraud,Larceny,Misc,Traffic,Weapon
Reasons,for,AAGGGGRRAAVVA TION,(N=163),(N=64),(N=529),(N=155),(N=131),(N=423),(N=84),(N=223),(N=98)
Plea agreement,Plea agreement,Plea agreement,38,16,131,52,26,98,22,28,37
No reason given,No reason given,No reason given,28,11,116,33,32,86,12,49,10
Offender has extensive prior record/same type of prior,Offender has extensive prior record/same type of prior,Offender has extensive prior record/same type of prior,19,8,79,13,19,95,11,58,8
Aggravating circumstances/flagrancy of offense,Aggravating circumstances/flagrancy of offense,Aggravating circumstances/flagrancy of offense,21,6,39,7,7,33,21,27,13
Offender has poor rehabilitation potential,Offender has poor rehabilitation potential,Offender has poor rehabilitation potential,13,3,22,6,5,29,7,24,2
Number of violations/counts in the event,Number of violations/counts in the event,Number of violations/counts in the event,9,3,30,11,6,26,5,7,10
Offender is sentenced to an alternative punishment,Offender is sentenced to an alternative punishment,Offender is sentenced to an alternative punishment,6,4,35,4,9,26,0,5,6
Current offense involves drugs/alcohol (large amount),Current offense involves drugs/alcohol (large amount),Current offense involves drugs/alcohol (large amount),1,0,34,20,0,1,2,23,1
Jury sentence,Jury sentence,Jury sentence,6,0,18,4,8,15,4,12,6
Offense involved a high degree of planning/violation of trust,Offense involved a high degree of planning/violation of trust,Offense involved a high degree of planning/violation of trust,3,3,1,4,4,35,1,1,1
Guidelines recommendation is too low,Guidelines recommendation is too low,Guidelines recommendation is too low,7,3,14,9,1,10,3,5,1
Extreme property or monetary loss,Extreme property or monetary loss,Extreme property or monetary loss,5,3,0,0,7,36,0,1,0
"Judicial discretion (time served, shock incarceration, etc.)","Judicial discretion (time served, shock incarceration, etc.)","Judicial discretion (time served, shock incarceration, etc.)",10,8,14,3,1,11,1,2,1
Offender's substance abuse issues,Offender's substance abuse issues,Offender's substance abuse issues,0,0,13,7,3,7,2,7,1
"Degree of victim injury (physical, emotional, etc.)","Degree of victim injury (physical, emotional, etc.)","Degree of victim injury (physical, emotional, etc.)",4,1,7,0,0,6,1,17,4
Poor conduct since commission of offense,Poor conduct since commission of offense,Poor conduct since commission of offense,8,2,8,1,5,5,2,2,0
"Type of victim (child, etc.)","Type of victim (child, etc.)","Type of victim (child, etc.)",4,1,3,0,4,7,5,3,1
Offender failed alternative sanction program,Offender failed alternative sanction program,Offender failed alternative sanction program,0,0,21,3,0,2,0,0,0
True offense behavior/more serious than offenses at conv.,True offense behavior/more serious than offenses at conv.,True offense behavior/more serious than offenses at conv.,0,0,10,3,1,4,0,2,5
Aggravating court circumstances/proceedings,Aggravating court circumstances/proceedings,Aggravating court circumstances/proceedings,0,2,4,4,2,6,1,4,0
Offender needs rehabilitation offered by jail/prison,Offender needs rehabilitation offered by jail/prison,Offender needs rehabilitation offered by jail/prison,0,0,13,1,1,4,0,3,1
Offender used a weapon in commission of the offense,Offender used a weapon in commission of the offense,Offender used a weapon in commission of the offense,5,0,4,0,1,0,1,0,9
Offender failed to cooperate with authorities,Offender failed to cooperate with authorities,Offender failed to cooperate with authorities,1,0,3,4,1,2,5,1,1
Aggravating facts involving the breaking and entering,Aggravating facts involving the breaking and entering,Aggravating facts involving the breaking and entering,13,0,1,0,1,3,0,0,0
Absconded from probation supervision,Absconded from probation supervision,Absconded from probation supervision,1,1,7,0,0,3,0,1,1
Current offense involves accident/reckless driving,Current offense involves accident/reckless driving,Current offense involves accident/reckless driving,0,0,2,0,0,0,1,11,0
Failed to follow instructions while on probation,Failed to follow instructions while on probation,Failed to follow instructions while on probation,2,0,4,1,2,3,1,0,0
Prior record not adequately weighed by guidelines,Prior record not adequately weighed by guidelines,Prior record not adequately weighed by guidelines,0,1,6,0,0,3,0,2,0
Mandatory minimum involved in event,Mandatory minimum involved in event,Mandatory minimum involved in event,0,1,3,0,0,0,1,2,4
"Offender issues (age of offender, homeless, lacks support, etc.) 2","Offender issues (age of offender, homeless, lacks support, etc.) 2","Offender issues (age of offender, homeless, lacks support, etc.) 2","Offender issues (age of offender, homeless, lacks support, etc.) 2",1,1,0,2,3,1,1,0
"Victim circumstances (facts of the case, etc.)","Victim circumstances (facts of the case, etc.)","Victim circumstances (facts of the case, etc.)",5,0,0,0,2,2,0,0,2
Judge thought sentence was in compliance,Judge thought sentence was in compliance,Judge thought sentence was in compliance,0,0,2,1,0,3,0,3,0
Sentencing guidelines not appropriate,Sentencing guidelines not appropriate,Sentencing guidelines not appropriate,1,0,2,0,1,1,1,3,0
Multiple offenses in the sentencing event,Multiple offenses in the sentencing event,Multiple offenses in the sentencing event,0,0,5,1,1,1,0,0,0
Seriousness of offense,Seriousness of offense,Seriousness of offense,2,1,0,0,0,1,2,1,0
Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,2,0,1,1,0,2,0,0,0
"Financial obligations (court costs, restitution, etc.)","Financial obligations (court costs, restitution, etc.)","Financial obligations (court costs, restitution, etc.)",0,0,1,0,0,3,2,0,0
Judge rounded guidelines maximum to nearest whole year,Judge rounded guidelines maximum to nearest whole year,Judge rounded guidelines maximum to nearest whole year,0,0,2,0,1,0,0,2,1
Violent/disruptive behavior in custody,Violent/disruptive behavior in custody,Violent/disruptive behavior in custody,2,1,1,0,0,0,0,1,0
"Used, etc., drugs/alcohol while on probation","Used, etc., drugs/alcohol while on probation","Used, etc., drugs/alcohol while on probation",0,0,2,0,0,1,0,1,1
New offenses were committed while on probation,New offenses were committed while on probation,New offenses were committed while on probation,0,0,4,0,0,1,0,0,0
Gang-related offense,Gang-related offense,Gang-related offense,0,0,0,1,0,3,1,0,0
Child present at time of offense,Child present at time of offense,Child present at time of offense,0,0,1,1,0,1,1,0,1
Offender was the leader,Offender was the leader,Offender was the leader,1,1,1,1,0,0,1,0,0
Victim request,Victim request,Victim request,2,0,0,0,0,2,0,0,0
Degree of violence toward victim,Degree of violence toward victim,Degree of violence toward victim,4,0,0,0,0,0,0,0,0
Offender violated protective order or was stalking,Offender violated protective order or was stalking,Offender violated protective order or was stalking,3,0,0,0,0,0,0,0,0
,,,231,82,671,197,154,585,119,312,128
Note: Figures indicate the number of times a departure reason was cited.,Note: Figures indicate the number of times a departure reason was cited.,Note: Figures indicate the number of times a departure reason was cited.,Note: Figures indicate the number of times a departure reason was cited.,,,,,,,,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,,,
