Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff’s Office,61,42,19,7
Chincoteague PD,10,10,0,4
Onancock PD,3,3,0,0
Parksley PD,3,3,0,0
Onley PD,5,5,0,0
ALBEMARLE COUNTY,,,,
Albemarle PD,120,106,14,28
ALLEGHANY COUNTY,,,,
Sheriff’s Office,43,38,5,16
AMELIA COUNTY,,,,
Sheriff’s Office,12,12,0,8
AMHERST COUNTY,,,,
Sheriff’s Office,60,45,15,6
Amherst PD,5,4,1,
APPOMATTOX COUNTY,,,,
Sheriff’s Office,30,24,6,3
ARLINGTON COUNTY,,,,
Arlington PD,361,297,64,87
AUGUSTA COUNTY,,,,
Sheriff’s Office,68,66,2,12
BATH COUNTY,,,,
Sheriff’s Office,13,12,1,5
BEDFORD COUNTY,,,,
Sheriff’s Office,74,63,11,2
BLAND COUNTY,,,,
Sheriff’s Office,10,10,0,8
BOTETOURT COUNTY,,,,
Sheriff’s Office,95,85,10,21
BRUNSWICK COUNTY,,,,
Sheriff’s Office,35,31,4,12
Lawrenceville PD,5,5,0,0
BUCHANAN COUNTY,,,,
Sheriff’s Office,31,30,1,13
Grundy PD,6,6,0,0
BUCKINGHAM COUNTY,,,,
Sheriff’s Office,18,18,0,8
CAMPBELL COUNTY,,,,
Sheriff’s Office,57,54,3,3
Altavista PD,11,11,0,0
Brookneal PD,3,3,0,0
CAROLINE COUNTY,,,,
Sheriff’s Office,48,43,5,19
Bowling Green PD,0,0,0,0
CARROLL COUNTY,,,,
Sheriff’s Office,29,28,1,6
Hillsville PD,11,11,0,1
CHARLES CITY COUNTY,,,,
Sheriff’s Office,10,9,1,9
CHARLOTTE COUNTY,,,,
Sheriff’s Office,34,24,10,3
CHESTERFIELD COUNTY,,,,
Chesterfield PD,462,419,43,104
CLARKE COUNTY,,,,
Sheriff’s Office,17,15,2,11
Berryville PD,7,7,0,1
CRAIG COUNTY,,,,
Sheriff’s Office,8,8,0,5
CULPEPER COUNTY,,,,
Sheriff’s Office,78,59,19,16
Culpeper PD,41,37,4,9
CUMBERLAND COUNTY,,,,
Sheriff’s Office,15,13,2,7
DICKENSON COUNTY,,,,
Sheriff’s Office,21,19,2,7
Clintwood PD,4,4,0,0
Haysi PD,2,2,0,0
Clinchco PD,1,1,0,0
DINWIDDIE COUNTY,,,,
Sheriff’s Office,40,38,2,8
McKenney PD,1,1,0,0
