Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter,275,75,199,,1
Negligent Manslaughter  ,14,9,5,,
Kidnaping/Abduction,947,429,509,1,8
Forcible Rape  ,368,205,161,,2
Forcible Sodomy,187,123,64,,
Sexual Assault with an Object  ,99,60,37,,2
Forcible Fondling  ,647,419,224,1,3
Robbery,2093,531,1558,1,3
Aggravated Assault,4802,2319,2440,5,38
Simple Assault  ,36550,19756,16471,28,295
Intimidation,1758,1066,678,1,13
Arson,380,258,113,,9
Extortion/Blackmail  ,46,25,21,,
Burglary/Breaking & Entering  ,4491,2486,1967,4,34
Pocket Picking  ,224,135,88,,1
Purse Snatching  ,30,17,13,,
Shoplifting  ,10854,5792,4957,4,101
Theft from Building  ,724,430,292,,2
Theft from Coin-Operated Machine or Device,36,29,7,,
Theft from Motor Vehicle,426,304,121,1,
Theft of Motor Vehicle Parts or Accessories  ,129,81,48,,
All Other Larceny,11226,6291,4851,3,81
Motor Vehicle Theft  ,1044,542,495,2,5
Counterfeiting/Forgery,2332,1539,773,2,18
False Pretenses/Swindle/Confidence Game  ,2509,1495,997,1,16
Credit Card/Automatic Teller Machine Fraud  ,449,321,127,,1
Impersonation,616,337,277,,2
Welfare Fraud  ,37,16,21,,
Wire Fraud  ,12,9,3,,
Embezzlement,1933,1013,901,,19
Stolen Property Offenses  ,1062,446,607,1,8
Destruction/Damage/Vandalism of Property  ,5097,3204,1859,1,33
Drug/Narcotic Violations  ,35196,17804,17226,14,152
Drug Equipment Violations  ,324,234,86,1,3
Incest,10,9,1,,
Statutory Rape  ,119,73,46,,
Pornography/Obscene Material  ,100,87,12,,1
Betting/Wagering  ,85,39,45,,1
Operating/Promoting/Assisting Gambling,28,20,8,,
Gambling Equipment Violations,85,84,1,,
Sports Tampering  ,,,,,
Prostitution  ,489,257,226,,6
Assisting or Promoting Prostitution  ,160,76,63,,21
Bribery  ,9,6,3,,
Weapon Law Violations  ,4059,1792,2243,1,23
TOTAL,132061,70243,60844,72,902
