Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,,,,,,
,F,,,,,,
,U,,,,,,
10--14,M,,4,,,,4
,F,,,,,,
,U,,,,,,
15-19,M,15,81,,,1,97
,F,3,8,,,,11
,U,,,,,,
20-24,M,14,73,,2,1,90
,F,1,4,,,,5
,U,,1,,,1,2
25-29,M,13,38,,,,51
,F,4,5,,,,9
,U,,,,,,
30-34,M,6,17,,,,23
,F,2,4,,,,6
,U,,,,,,
35-39,M,10,11,,,,21
,F,2,,,,,2
,U,,,,,,
40-44,M,11,17,,2,,30
,F,3,1,,,1,5
,U,,,,,,
45-49,M,6,10,,1,,17
,F,1,1,,,,2
,U,,,,,,
50-54,M,6,2,,1,,9
,F,1,,,,,1
,U,,,,,,
55-59,M,6,1,,,,7
,F,2,,,,,2
,U,,,,,,
60-64,M,3,2,,,,5
,F,,,,,,
,U,,,,,,
65 & Over,M,4,,,,,4
,F,1,,,,,1
,U,,,,,,
Unknown,M,5,19,,,,24
,F,,1,,,,1
,U,,,,,26,26
TOTAL,M,99,275,,6,2,382
,F,20,24,,,1,45
,U,,1,,,27,28
