Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter,254,21,0.26,0.06
Negligent Manslaughter ,12,2,0.01,0.01
Kidnaping/Abduction ,857,90,0.88,0.26
Forcible Rape ,364,4,0.37,0.01
Forcible Sodomy,179,8,0.18,0.02
Sexual Assault with an Object,97,2,0.1,0.01
Forcible Fondling ,622,25,0.64,0.07
Robbery,1919,174,1.97,0.5
Aggravated Assault,3619,1183,3.71,3.43
Simple Assault,26100,10450,26.75,30.3
Intimidation,1296,462,1.33,1.34
Arson,320,60,0.33,0.17
Extortion/Blackmail ,32,14,0.03,0.04
Burglary/Breaking & Entering ,3991,500,4.09,1.45
Pocket Picking,153,71,0.16,0.21
Purse Snatching,18,12,0.02,0.03
Shoplifting,5354,5500,5.49,15.95
Theft from Building ,517,207,0.53,0.6
Theft from Coin-Operated Machine or Device,30,6,0.03,0.02
Theft from Motor Vehicle ,384,42,0.39,0.12
Theft of Motor Vehicle Parts or Accessories,113,16,0.12,0.05
All Other Larceny,7435,3791,7.62,10.99
Motor Vehicle Theft ,843,201,0.86,0.58
Counterfeiting/Forgery ,1414,918,1.45,2.66
False Pretenses/Swindle/Confidence Game ,1596,913,1.64,2.65
Credit Card/Automatic Teller Machine Fraud ,201,248,0.21,0.72
Impersonation ,444,172,0.46,0.5
Welfare Fraud ,4,33,0,0.1
Wire Fraud,7,5,0.01,0.01
Embezzlement,876,1057,0.9,3.06
Stolen Property Offenses,911,151,0.93,0.44
Destruction/Damage/Vandalism of Property,4096,1001,4.2,2.9
Drug/Narcotic Violations ,28799,6397,29.52,18.55
Drug Equipment Violations,227,97,0.23,0.28
Incest,9,1,0.01,0
Statutory Rape,113,6,0.12,0.02
Pornography/Obscene Material,93,7,0.1,0.02
Betting/Wagering ,81,4,0.08,0.02
Operating/Promoting/Assisting Gambling ,24,4,0.02,0.01
Gambling Equipment Violations,84,1,0.09,0
Sports Tampering ,0,0,0,0
Prostitution ,217,272,0.22,0.79
Assisting or Promoting Prostitution ,111,49,0.11,0.14
Bribery,7,2,0.01,0.01
Weapon Law Violations ,3748,311,3.84,0.9
TOTAL,97571,34490,100,100
