Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
“Crack” Cocaine ,0,0,12,24,39,76,146,185,235,227,193,187,160,827,539,606,632,555,316,122,43,14,5138
Cocaine ,0,1,11,5,8,29,90,131,116,116,156,146,148,636,349,368,350,264,146,65,17,8,3160
Hashish ,0,0,0,0,0,2,0,1,1,2,3,1,0,4,2,1,3,2,0,0,0,0,22
Heroin ,0,0,0,1,1,5,14,17,23,32,32,32,29,118,94,102,65,60,42,18,5,2,692
Marijuana ,5,29,229,344,641,984,1961,1862,1671,1453,1236,1035,897,3000,1450,938,760,596,327,117,52,19,19606
Morphine ,0,0,0,2,0,3,8,2,3,4,4,5,1,12,8,3,6,5,10,2,0,0,78
Opium ,0,0,0,0,0,0,0,2,1,0,0,0,0,8,10,7,8,3,2,0,0,0,41
Other Narcotic ,0,1,12,13,5,9,36,36,33,43,32,30,31,161,151,124,120,112,55,26,19,17,1066
LSD ,0,0,0,0,1,1,3,1,5,0,0,3,0,0,3,0,0,0,0,0,0,0,17
PCP ,0,0,1,1,0,0,0,4,3,3,2,6,1,14,7,2,1,1,3,0,0,0,49
Other Halucinogens ,0,0,0,0,2,2,3,0,3,5,0,8,1,15,3,4,2,5,1,1,0,0,55
Amphetamines/ Methamphetamines ,0,0,5,2,1,4,12,20,17,16,21,18,21,75,46,60,40,36,20,6,1,1,422
Other Stimulants ,0,1,4,2,3,2,7,5,4,1,1,3,1,8,7,3,3,4,2,1,1,0,63
Barbituates ,0,0,0,0,0,0,0,1,0,0,0,2,0,6,2,2,1,0,1,0,1,0,16
Other Depressants ,0,0,3,1,0,3,2,6,1,3,9,3,2,23,6,14,12,10,5,2,0,0,105
Other Drugs ,0,1,18,11,12,10,12,24,25,31,16,23,19,84,92,79,113,36,24,11,2,1,644
Unknown Drug Type ,0,3,39,72,97,151,257,252,244,218,218,138,175,641,377,330,319,261,156,55,9,10,4022
TOTAL ,5,36,334,478,810,1281,2551,2549,2385,2154,1923,1640,1486,5632,3146,2643,2435,1950,1110,426,150,72,
