Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,1,,1,,2,
,F,3,3,,,6,
,U,,,,,,
10--14,M,,1,,,1,
,F,3,,,,3,
,U,,,,,,
15-19,M,6,39,,,45,
,F,9,1,,1,11,
,U,,,,,,
20-24,M,22,44,,1,67,
,F,9,6,,,15,
,U,,,,,,
25-29,M,16,42,,1,,59
,F,7,7,,,,14
,U,,,,,,
30-34,M,10,11,,2,,23
,F,4,2,,,,6
,U,,,,,,
35-39,M,10,19,,,,29
,F,3,,,,,3
,U,,,,,,
40-44,M,7,11,,,,18
,F,5,3,,,,8
,U,,,,,,
45-49,M,8,9,,1,,18
,F,3,8,,,,11
,U,,,,,,
50-54,M,11,7,,1,,19
,F,3,1,,1,,5
,U,,,,,,
55-59,M,7,7,,,,14
,F,2,,,,,2
,U,,,,,,
60-64,M,2,2,,1,,5
,F,5,,,1,,6
,U,,,,,,
65 & Over,M,5,2,,,,7
,F,7,,,,,7
,U,,,,,,
Unknown,M,1,4,,,,5
,F,,,,,,
,U,1,1,,,,2
TOTAL,M,106,198,,8,,312
,F,64,32,,3,,99
,U,,,,,,
