,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter,20,20,13,29,20,19,13,46,36,25,21,12,6,6,4,2,292
Negligent Manslaughter,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,7
Kidnaping/Abduction,44,50,39,50,38,65,38,153,119,76,74,44,28,5,2,6,831
Forcible Rape,23,18,17,18,13,16,12,46,46,36,34,21,13,3,3,3,322
Forcible Sodomy,3,8,5,3,5,2,3,14,18,22,50,7,4,5,3,4,156
Sexual Assault with an Object,1,2,1,2,1,0,3,18,13,6,8,4,3,2,2,2,68
Forcible Fondling,17,13,16,14,10,10,8,52,54,58,75,52,40,17,15,14,465
Robbery,148,149,117,91,87,52,61,197,144,105,104,43,20,6,3,5,1332
Aggravated Assault,239,223,194,236,215,184,163,648,474,474,458,247,149,82,30,47,4063
Simple Assault,1145,1124,1194,1252,1300,1180,1234,4768,4179,3994,3737,2372,1170,557,305,288,29799
Intimidation,65,65,61,73,55,52,56,203,208,186,191,122,73,47,24,21,1502
Arson,15,11,13,4,6,5,8,10,16,21,18,12,6,5,2,0,152
Extortion/Blackmail,1,0,4,0,1,1,1,2,5,4,4,0,0,1,0,1,25
Burglary/B & E,314,280,203,194,141,123,98,384,289,283,214,113,57,24,10,4,2731
Pocket Picking,14,15,8,12,3,6,1,10,11,22,16,10,10,4,0,2,144
Purse Snatching,3,3,1,0,1,2,0,5,8,2,1,2,0,0,0,0,28
Shoplifting,896,638,516,412,345,334,277,1014,951,1000,905,645,359,164,92,87,8635
Theft from Building,35,33,26,25,36,16,19,54,59,39,56,32,10,8,0,2,450
Theft from Coin-Operated Machine or Device,7,4,5,2,5,0,4,5,3,8,2,1,1,0,0,0,47
Theft from Motor Vehicle,44,34,26,19,10,26,8,45,42,29,15,12,8,3,0,0,321
Theft of Motor Vehicle Parts,13,10,6,4,4,7,4,11,6,9,4,3,5,0,0,1,87
All Other Larceny,722,607,449,439,395,333,323,1178,1092,1007,927,589,297,132,55,43,8588
Motor Vehicle Theft,119,85,69,64,44,43,33,136,126,136,92,49,24,5,0,4,1029
Counterfeiting/Forgery,98,130,161,121,114,103,163,489,412,351,229,148,56,54,12,7,2648
False Pretenses/Swindle/Confidence Game,60,61,61,82,89,86,80,373,398,352,286,170,89,46,13,17,2263
Credit Card/Automatic Teller Machine Fraud,12,16,18,15,17,37,17,45,51,54,35,18,6,2,3,1,347
Impersonation,14,24,27,25,12,20,14,68,35,34,30,14,6,1,0,2,326
Welfare Fraud,0,1,2,1,2,1,0,10,14,9,7,4,1,5,1,0,58
Wire Fraud,1,0,2,0,0,0,1,18,1,1,1,0,0,0,0,0,25
Embezzlement,109,117,90,76,83,60,58,217,184,161,125,95,25,20,6,4,1430
Stolen Property Offenses,78,75,64,65,53,47,39,104,86,75,65,36,18,11,3,4,823
Destruct/Damage/Vandalism,315,292,229,200,168,155,126,420,327,297,242,142,75,38,28,15,3069
Drug/Narcotic Violations,2103,2104,1903,1642,1546,1308,1212,3876,2627,2324,2102,1423,727,235,74,44,25250
Drug Equipment Violations,14,15,17,11,12,13,7,41,31,17,23,22,6,2,1,0,232
Incest,0,1,0,1,0,0,0,1,5,1,2,4,1,0,0,0,16
Statutory Rape,29,19,8,14,2,20,3,11,7,5,1,0,1,0,0,0,120
Porno./Obscene Material,2,2,1,2,6,3,2,2,12,13,7,4,1,0,0,1,58
Betting/Wagering,0,4,2,0,2,3,2,6,9,11,6,8,0,1,0,0,54
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Gambling Equip. Violations,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
Sports Tampering,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,4
Prostitution,5,12,17,18,18,12,22,91,107,146,127,60,24,11,9,4,683
Assisting/Promoting Prostitution,3,2,0,5,1,4,1,10,11,11,14,11,1,1,4,1,80
Bribery,0,0,0,1,0,1,0,0,2,1,3,2,1,1,0,0,12
Weapon Law Violations,241,213,174,233,203,162,126,411,244,188,230,183,122,71,29,46,2876
Total Group A Arrests,6974,6481,5759,5455,5064,4511,4241,15194,12467,11595,10542,6736,3443,1576,733,682,101453
