Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff's Office,58,46,12,10
Chincoteague PD,10,9,1,3
Onancock PD,4,4,0,0
Parksley PD,3,3,0,0
Onley PD,1,1,0,0
ALBEMARLE COUNTY,,,,
Albemarle PD,103,91,12,20
ALLEGHANY COUNTY,,,,
Sheriff's Office,43,36,7,15
AMELIA COUNTY,,,,
Sheriff's Office,12,12,0,8
AMHERST COUNTY,,,,
Sheriff's Office,58,44,14,6
Amherst PD,5,5,0,0
APPOMATTOX COUNTY,,,,
Sheriff's Office,31,25,6,3
ARLINGTON COUNTY,,,,
Arlington PD,347,292,55,84
AUGUSTA COUNTY,,,,
Sheriff's Office,55,54,1,72
BATH COUNTY,,,,
Sheriff's Office,18,15,3,0
BEDFORD COUNTY,,,,
Sheriff's Office,72,62,10,2
BLAND COUNTY,,,,
Sheriff's Office,11,11,0,7
BOTETOURT COUNTY,,,,
Sheriff's Office,66,60,6,16
BRUNSWICK COUNTY,,,,
Sheriff's Office,36,31,5,13
Lawrenceville PD,5,5,0,0
BUCHANAN COUNTY,,,,
Sheriff's Office,42,41,1,11
Grundy PD,5,5,0,1
BUCKINGHAM COUNTY,,,,
Sheriff's Office,18,18,0,7
CAMPBELL COUNTY,,,,
Sheriff's Office,54,52,2,3
Altavista PD,11,11,0,0
Brookneal PD,4,4,0,0
CAROLINE COUNTY,,,,
Sheriff's Office,34,32,2,9
Bowling Green PD,0,0,0,0
CARROLL COUNTY,,,,
Sheriff's Office,28,27,1,5
Hillsville PD,11,11,0,1
CHARLES CITY COUNTY,,,,
Sheriff's Office,10,7,3,6
CHARLOTTE COUNTY,,,,
Sheriff's Office,32,23,9,3
CHESTERFIELD COUNTY,,,,
Chesterfield PD,439,402,37,92
CLARKE COUNTY,,,,
Sheriff's Office,18,17,1,10
Berryville PD,9,8,1,1
CRAIG COUNTY,,,,
Sheriff's Office,8,8,0,5
CULPEPER COUNTY,,,,
Sheriff's Office,74,58,16,15
Culpeper PD,33,30,3,7
CUMBERLAND COUNTY,,,,
Sheriff's Office,13,11,2,5
DICKENSON COUNTY,,,,
Sheriff's Office,31,25,6,4
Clintwood PD,2,2,0,0
Haysi PD,2,2,0,0
Clinchco,1,1,0,0
DINWIDDIE COUNTY,,,,
Sheriff's Office,52,46,6,9
McKenney PD,1,1,0,0
ESSEX COUNTY,,,,
Sheriff's Office,19,11,8,
