Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,64,146,246,210,257,248,241,1172,1134,1078,807,530,303,129,76,58,6699
Curfew/Loitering/Vagrancy,16,6,11,7,1,2,1,4,8,9,25,23,7,23,1,0,144
Disorderly Conduct,392,337,311,356,331,280,235,846,541,573,522,310,171,79,45,40,5369
Driving Under the Influence,478,808,896,1250,1341,1212,1143,4092,3258,2943,2835,2135,1343,753,364,296,25147
Drunkenness,749,777,869,1345,1133,1054,958,3485,2849,3447,4306,3330,1911,923,385,314,27835
"Family Offenses, Nonviolent",35,42,39,45,52,51,45,252,191,217,188,105,36,18,11,3,1330
Liquor Laws,1547,1679,1398,255,193,171,141,508,405,487,505,419,322,180,68,61,8339
Peeping Tom,4,1,2,2,0,0,7,8,10,11,3,3,0,2,0,3,56
Runaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass to Real Property,603,584,481,434,364,307,291,919,736,744,823,688,389,174,102,103,7742
Conspiracy to Commit Group A Offense,2,9,7,3,7,3,12,10,6,6,6,4,1,0,0,8,84
Conspiracy to Commit Group B Offense,1,2,1,1,1,1,0,4,4,2,3,1,0,0,1,0,22
All Other Offenses,2956,3814,3996,4140,3951,3568,3403,13063,11001,10316,9407,6018,3340,1657,790,839,82259
Total Group B Offenses,6847,8205,8257,8048,7631,6897,6477,24363,20143,19833,19430,13566,7823,3938,1843,1725,165026
