Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,,,,,,0
,F,,,,,,0
,U,,,,,,0
10--14,M,,2,,,,2
,F,2,,,,,2
,U,,,,,,0
15-19,M,9,46,,,1,56
,F,3,5,,,,117
,U,,,,,,0
20-24,M,22,93,1,,1,117
,F,1,5,,,,6
,U,,,,,,0
25-29,M,13,36,,,,49
,F,4,6,,,,10
,U,,,,,,0
30-34,M,8,28,,,,36
,F,2,2,,,,4
,U,,,,,,0
35-39,M,12,10,,1,,23
,F,2,2,,,,4
,U,,,,,,0
40-44,M,13,8,,,,21
,F,1,3,,,,4
,U,,,,,,0
45-49,M,8,2,,1,,11
,F,2,1,,,1,4
,U,,,,,,0
50-54,M,7,1,,,,8
,F,,,,,,0
,U,,,,,,0
55-59,M,4,2,,,,6
,F,,1,,,,1
,U,,,,,,0
60-64,M,5,2,,,,7
,F,,,,,,0
,U,,,,,,0
65 & Over,M,4,1,,,,5
,F,,,,,,0
,U,,,,,,0
Unknown,M,8,12,,,,20
,F,1,,,,,1
,U,,,,,24,24
TOTAL,M,113,243,1,2,2,361
,F,18,25,,,1,44
,U,,,,,24,24
