Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10,,59,5,,
10--12,1,106,16,,
13--14,3,195,47,,
15,2,124,33,,
16,1,119,61,1,
17,1,79,51,,
18,,94,81,1,
19,1,79,67,,
20,,70,81,,
21,,69,80,,
22,,63,72,,
23,,57,47,,
24,,44,64,1,
25-29,1,142,202,,1
30-34,1,102,173,,2
35-39,,118,133,1,1
40-44,2,75,132,,
45-49,1,44,59,,1
50-54,1,28,41,,1
55-59,,10,18,1,
60-64,,7,11,,
65 & Over,,11,13,,1
Unknown,,20,165,,79
TOTAL,15,1715,1652,5,86
White,10,1116,862,4,2
Black,4,559,726,1,3
Am. Ind. or Alaskan Native,,,1,,
Asian or Pacific Isl.,,16,21,,
Unknown,,24,42,,81
TOTAL,14,1715,1652,5,86
