Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter,337,0.28,4.45
Negligent Manslaughter,8,0.01,0.11
Kidnapping,872,0.72,11.52
Forcible Rape,346,0.29,4.57
Forcible Sodomy,173,0.14,2.29
Sexual Assault with an Object,97,0.08,1.28
Forcible Fondling of a Child,626,0.52,8.27
Robbery,1840,1.53,24.31
Aggravated Assault,4764,3.95,62.95
Simple Assault,34156,28.34,451.35
Intimidation,1787,1.48,23.61
Arson,335,0.28,4.43
Extortion/Blackmail,33,0.03,0.44
Burglary/Breaking & Entering,3964,3.29,52.38
Pocket-picking,149,0.12,1.97
Purse-snatching,35,0.03,0.46
Shoplifting,9906,8.22,130.9
Theft from Building,611,0.51,8.07
Theft from Coin-Operated Machine or Device,59,0.05,0.78
Theft from Motor Vehicle,453,0.38,5.99
Theft of Motor Vehicle Parts or Accessories,102,0.08,1.35
All Other Larceny,10675,8.86,141.06
Motor Vehicle Theft,1389,1.15,18.35
Counterfeiting/Forgery,2366,1.96,31.27
False Pretenses/Swindle/Confidence Game,2488,2.06,32.88
Credit Card/Automatic Teller Machine Fraud,408,0.34,5.39
Impersonation,401,0.33,5.3
Welfare Fraud,40,0.03,0.53
Wire Fraud,7,0.01,0.09
Embezzlement,1549,1.29,20.47
Stolen Property Offenses,994,0.82,13.14
Destruction.Damage/Vandalism of Property,4367,3.62,57.71
Drug/Narcotic Violations,29746,24.68,393.08
Drug Equipment Violations,328,0.27,4.33
Incest,10,0.01,0.13
Statutory Rape,141,0.12,1.86
Pornography/Obscene Material,66,0.05,0.87
Betting/Wagering,42,0.03,0.56
Operating/Promoting/Assisting Gambling,25,0.02,0.33
Gambling Equipment Violations,5,0,0.07
Sports Tampering,0,0,0
Prostitution,681,0.57,9
Assisting or Promoting Prostitution,101,0.08,1.33
Bribery,13,0.01,0.17
Weapon Law Violations,4008,3.33,52.96
TOTAL,120503,100,1592.36
