Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,0,4,2,4,8,18
Negligent Manslaughter,0,0,0,0,0,0,0
Kidnaping/Abduction,1,5,11,6,13,24,60
Forcible Rape,0,0,6,12,7,11,36
Forcible Sodomy,1,11,27,13,3,5,60
Sexual Assault with an Object,0,3,12,2,0,2,19
Forcible Fondling,2,15,48,27,15,5,112
Robbery,0,14,91,78,124,131,438
Aggravated Assault,8,43,190,134,137,162,674
Simple Assault,44,516,1467,953,1054,858,4892
Intimidation,1,41,71,59,45,38,255
Arson,14,28,83,18,16,13,172
Extortion/Blackmail,0,4,6,1,1,1,13
Burglary/Breaking & Entering,7,85,288,257,242,247,1126
Pocket Picking,0,3,5,11,11,2,32
Purse Snatching,0,1,0,1,0,0,2
Shoplifting,8,178,582,479,494,530,2271
Theft from Building,2,23,37,29,29,39,159
Theft from Coin-Operated Device,0,1,2,0,1,3,7
Theft from Motor Vehicle,1,3,21,24,32,36,117
Theft of Motor Vehicle Parts,1,0,3,1,3,3,11
All Other Larceny,9,158,508,399,463,446,1983
Motor Vehicle Theft,0,7,69,98,76,103,353
Counterfeiting/Forgery,0,1,12,8,22,32,75
False Pretenses/Swindle/Confidence Game,0,1,9,14,18,26,68
Credit Card/Teller Machine Fraud,0,1,4,3,3,9,20
Impersonation,0,0,0,0,4,6,10
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,0,0
