Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,2,0,3,0,2,0,1,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,10,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,14,1,44,3,0,0,8,1,0,0,9,0,0,0,60,0,9,0,0,0,0,1,4,0,18,4,2,0,1,0,1,0,207,12
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
Kidnaping,4,1,3,0,3,0,0,0,7,0,23,3,0,1,1,0,2,0,0,0,0,0,1,0,1,0,13,1,0,0,41,2,8,0,12,0,0,0,22,5,1,0,2,0,2,0,28,1,58,3,4,0,23,0,1,0,42,1,3,0,63,0,19,0,6,3,2,0,19,1,38,0,4,0,2,0,2,0,460,22
"Sex Offenses, Forcible",8,0,4,0,12,3,1,0,10,1,25,1,2,0,1,0,4,0,0,0,0,0,0,0,1,1,12,1,2,1,24,6,9,1,14,0,1,0,6,1,7,1,2,1,3,3,41,19,47,11,1,0,10,1,0,0,19,3,8,0,46,5,26,2,13,0,2,1,15,1,66,18,11,1,3,1,4,1,460,85
Robbery,33,24,4,1,6,0,0,0,13,2,46,8,2,3,0,0,13,0,9,3,0,0,2,0,19,5,13,4,0,0,48,31,23,2,7,0,5,0,16,3,13,0,0,0,8,0,112,55,80,54,0,0,28,21,0,0,35,9,2,2,166,7,33,13,10,0,1,1,13,0,85,61,3,3,7,0,6,1,861,313
Aggravated Assault,75,34,5,0,40,2,5,0,27,5,180,30,15,6,9,0,22,1,10,4,0,0,4,0,14,2,34,3,13,0,133,25,21,1,30,1,1,0,36,3,38,0,1,1,11,7,249,67,94,9,4,0,96,14,0,0,115,7,18,1,331,18,220,38,8,1,6,2,46,4,97,20,38,6,3,4,25,1,2074,317
Simple Assault/Intimidation,416,100,73,15,152,3,18,0,277,13,1225,61,135,45,35,1,453,0,70,8,0,0,22,2,92,0,210,3,65,4,794,102,155,12,226,2,19,1,686,17,150,3,32,2,169,44,1441,307,1008,46,36,2,576,44,23,6,985,52,124,4,1325,306,932,139,144,17,47,30,448,5,2200,643,226,28,92,14,234,57,15315,2138
Arson,0,0,0,0,4,0,1,0,0,0,1,0,1,12,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,13,4,0,0,0,3,1,0,0,2,1,1,0,5,4,3,4,0,0,0,0,1,0,18,15,2,7,0,0,0,0,65,57
Extortion/Blackmail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,13
