Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,4,5,,,1,10
,F,4,4,,,2,10
,U,,,,,,
10--14,M,1,2,,,,3
,F,,2,,,,2
,U,,,,,,
15-19,M,3,32,,,,35
,F,2,7,,,,9
,U,,,,,,
20-24,M,18,64,,,,82
,F,2,11,,,,13
,U,,,,,,
25-29,M,18,43,,,,61
,F,9,4,,1,,14
,U,,,,,,
30-34,M,9,24,,,1,34
,F,4,2,,,,6
,U,,,,,,
35-39,M,18,13,,,,31
,F,8,5,,,,13
,U,,,,,,
40-44,M,13,10,,,1,24
,F,9,3,,,,12
,U,,,,,,
45-49,M,11,14,,,,25
,F,3,3,,,,6
,U,,,,,,
50-54,M,9,14,,,,23
,F,3,,,,,3
,U,,,,,,
55-59,M,3,2,,,1,6
,F,3,,,2,,5
,U,,,,,,
60-64,M,2,1,,,,3
,F,1,1,,,,2
,U,,,,,,
65 & Over,M,12,,,,,12
,F,7,,,1,,8
,U,,,,,,
Unknown,M,6,4,,,,10
,F,2,2,,,,4
,U,,,,,,
TOTAL,M,127,228,,,4,359
,F,57,44,,4,2,107
,U,,,, , , 
