Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff’s Office,56,45,11,9
Chincoteague PD,10,10,0,3
Onancock PD,4,4,0,0
Parksley PD,3,3,0,0
Onley PD,3,3,0,0
ALBEMARLE COUNTY,,,,
Albemarle PD,111,97,14,22
ALLEGHANY COUNTY,,,,
Sheriff’s Office,43,38,5,16
AMELIA COUNTY,,,,
Sheriff’s Office,11,11,0,8
AMHERST COUNTY,,,,
Sheriff’s Office,64,49,15,6
Amherst PD,5,4,1,0
APPOMATTOX COUNTY,,,,
Sheriff’s Office,30,24,6,3
ARLINGTON COUNTY,,,,
Arlington PD,355,294,61,79
AUGUSTA COUNY,,,,
Sheriff’s Office,59,58,1,72
BATH COUNTY,,,,
Sheriff’s Office,19,16,3,0
BEDFORD COUNTY,,,,
Sheriff’s Office,71,63,8,2
BLAND COUNTY,,,,
Sheriff’s Office,10,10,0,8
BOTETOURT COUNTY,,,,
Sheriff’s Office,65,58,7,17
BRUNSWICK COUNTY,,,,
Sheriff’s Office,37,33,4,13
Lawrenceville PD,5,5,0,0
BUCHANAN COUNTY,,,,
Sheriff’s Office,30,29,1,6
Grundy PD,5,5,0,0
BUCKINGHAM COUNTY,,,,
Sheriff’s Office,17,17,0,7
CAMPBELL COUNTY,,,,
Sheriff’s Office,56,54,2,3
Altavista PD,11,11,0,0
Brookneal PD,4,4,0,0
CAROLINE COUNTY,,,,
Sheriff’s Office,39,36,3,8
Bowling Green PD,0,0,0,0
CARROLL COUNTY,,,,
Sheriff’s Office,28,27,1,5
Hillsville PD,11,11,0,1
CHARLES CITY COUNTY,,,,
Sheriff’s Office,10,9,1,6
CHARLOTTE COUNTY,,,,
Sheriff’s Office,31,22,9,3
CHESTERFIELD COUNTY,,,,
Chesterfield PD,436,401,35,94
CLARKE COUNTY,,,,
Sheriff’s Office,17,17,0,11
Berryville PD,8,6,2,1
CRAIG COUNTY,,,,
Sheriff’s Office,8,8,0,5
CULPEPER COUNTY,,,,
Sheriff’s Office,80,62,18,17
Culpeper PD,38,34,4,7
CUMBERLAND COUNTY,,,,
Sheriff’s Office,12,10,2,7
DICKENSON COUNTY,,,,
Sheriff’s Office,21,19,2,2
Clintwood PD,3,3,0,0
Haysi PD,2,2,0,0
Clinchco,1,1,0,0
DINWIDDIE COUNTY,,,,
Sheriff’s Office,35,33,2,8
McKenney PD,1,1,0,0
