Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,,,,,,,
,,,,,,,
,,,,,,,
10--14,,2,3,,,,5
,,,,,,,
,,,,,,,
15-19,,6,82,,1,,89
,,1,5,,,,6
,,,,,,,
20-24,,21,87,,1,,109
,,7,7,,,,14
,,,,,,,
25-29,,23,57,,,,80
,,5,5,,,,10
,,,,,,,
30-34,,7,20,,,,27
,,7,1,,,,8
,,,,,,,
35-39,,12,20,,,,32
,,5,5,,,,10
,,,,,,,
40-44,,11,5,,,,16
,,6,2,,,,8
,,,,,,,
45-49,,15,7,,,,22
,,2,3,,,,5
,,,,,,,2
50-54,,6,1,,,,7
,,,,,,,
,,,,,,,
55-59,,5,,,,,5
,,,,,,,
,,,,,,,
60-64,,1,,,,,1
,,2,1,,,,3
,,,,,,,
65 & Over,,4,1,,,,5
,,1,,,,,1
,,,,,,,
Unknown,,2,15,,,2,19
,,1,,,,,1
,,,,,,50,50
TOTAL,,114,299,,2,2,417
,,36,30,,,,66
,,,,,,52,52
