,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter,23,24,13,25,27,19,14,69,27,28,20,17,3,4,3,3,319
Negligent Manslaughter,2,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,8
Kidnaping/Abduction,42,47,39,53,49,30,43,150,114,71,64,62,27,10,2,9,812
Forcible Rape,14,19,15,19,20,10,10,43,42,37,39,20,9,6,2,5,310
Forcible Sodomy,8,6,3,2,7,3,1,9,15,19,15,13,5,5,1,1,113
Sexual Assault with an Object,1,2,2,3,0,1,5,7,15,10,8,9,5,3,3,4,78
Forcible Fondling,21,13,19,14,11,13,9,64,63,83,79,43,28,25,11,18,514
Robbery,194,191,137,83,68,70,59,202,139,109,79,52,14,3,2,0,1402
Aggravated Assault,231,233,200,220,181,189,181,658,479,443,470,302,163,82,29,29,4090
Simple Assault,985,1114,1157,1235,1135,1138,1183,4914,4078,3920,3525,2387,1315,595,284,299,29264
Intimidation,75,76,77,63,61,48,57,228,218,185,191,96,54,52,26,25,1532
Arson,15,11,7,11,3,10,5,21,17,13,17,16,5,8,1,3,163
Extortion/Blackmail,0,1,1,0,0,0,0,4,5,0,4,3,1,1,0,0,20
Burglary/B & E,362,289,208,151,130,114,109,417,317,283,246,153,37,17,3,2,2838
Pocket Picking,6,19,6,9,3,3,4,10,11,12,14,12,2,0,1,5,117
Purse Snatching,3,1,1,3,0,2,3,3,5,1,6,3,2,0,0,0,33
Shoplifting,681,606,459,331,309,294,260,1006,795,847,758,594,360,174,81,80,7635
Theft from Building,37,29,27,32,19,15,20,73,57,38,50,35,6,10,2,2,452
Theft from Coin-Operated Machine or Device,2,2,2,1,2,3,2,7,10,6,4,8,3,0,0,0,52
Theft from Motor Vehicle,25,46,29,28,13,14,9,57,39,27,32,10,5,1,1,0,336
Theft of Motor Vehicle Parts,7,5,11,7,8,5,3,14,7,6,5,8,2,2,0,1,91
All Other Larceny,693,597,502,388,340,352,296,1273,1079,1042,929,618,311,154,71,47,8692
Motor Vehicle Theft,106,77,59,44,48,46,49,154,125,129,109,62,20,6,0,2,1036
Counterfeiting/Forgery,94,95,105,110,74,153,93,497,349,261,229,143,51,21,8,8,2291
False Pretenses/Swindle/Confidence Game,58,71,70,102,96,103,80,405,388,367,306,207,103,37,23,4,2420
Credit Card/Automatic Teller Machine Fraud,16,24,16,23,21,23,17,80,66,40,34,17,5,5,0,1,388
Impersonation,25,34,42,16,12,22,24,60,33,45,39,26,10,3,0,0,391
Welfare Fraud,0,0,0,4,0,1,2,5,8,6,3,2,5,4,0,0,40
Wire Fraud,0,1,0,1,0,0,0,1,0,2,0,1,1,0,0,0,7
Embezzlement,101,104,102,85,89,65,54,224,194,152,157,80,40,20,2,4,1473
Stolen Property Offenses,77,68,60,63,44,37,46,125,91,74,75,45,24,4,4,2,839
Destruct/Damage/Vandalism,301,244,233,177,172,149,127,480,281,278,235,135,89,35,21,20,2977
Drug/Narcotic Violations,2133,2258,1989,1826,1558,1422,1211,4615,2754,2334,2307,1547,798,296,85,60,27193
Drug Equipment Violations,11,19,5,14,14,10,9,54,43,36,34,31,16,4,3,2,305
Incest,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,0,7
Statutory Rape,18,20,18,9,7,5,2,22,6,12,5,0,2,1,0,0,127
Porno./Obscene Material,3,2,4,2,3,2,1,6,6,6,9,8,5,3,1,3,64
Betting/Wagering,7,3,3,3,3,3,0,4,4,1,0,0,0,0,0,0,31
Operating/Promoting/Assisting Gambling,1,8,5,7,1,1,1,1,0,0,0,0,0,0,0,0,25
Gambling Equip. Violations,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,5
Sports Tampering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostitution,3,13,18,11,20,11,20,112,109,101,123,76,31,16,8,8,680
Assisting/Promoting Prostitution,1,2,2,1,6,2,5,21,16,12,14,8,10,0,0,0,100
Bribery,0,1,0,1,3,0,1,0,2,1,0,1,1,1,0,0,12
Weapon Law Violations,260,253,211,244,230,188,160,528,294,208,211,191,135,73,39,59,3284
Total Group A Arrests,6642,6629,5857,5422,4788,4578,4176,16624,12301,11247,10445,7043,3706,1684,718,706,102566
