Relationship of Victim to Offender by Percentage,Percentage
Spouse,2.1
Common-Law Spouse,0.2
Parent,0.6
Sibling,1.3
Child,1.8
Grandparent,0.1
Grandchild,0.3
In-Law,0.2
Stepparent,0.2
Stepchild,0.6
Stepsibling,0.2
Other Family Member,1.9
Victim Was Offender,1.4
Acquaintance,14.5
Friend,2.7
Neighbor,0.8
Babysittee (the baby),0.2
Boyfriend/Girlfriend,4.2
Child of Boyfriend/Girlfriend,0.3
Homosexual Relationship,0.1
Ex-Spouse,0.2
Employee,0.1
Employer,0.1
Otherwise Known,7.3
Stranger,27.1
Unknown,31.6
