Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”,Name: “Table 1 of 1 on page 5 of 6”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,Cases of Selected Notifiable Diseases Reported in Virginia*,,,,,
,,,,,,,,"Total Cases Reported, August 1999","Total Cases Reported, August 1999","Total Cases Reported, August 1999","Total Cases Reported, August 1999","Total Cases Reported, August 1999","Total Cases Reported, August 1999","Total Cases Reported, August 1999","Total Cases Reported, August 1999",,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Total Cases Reported Statewide,","Total Cases Reported Statewide,","Total Cases Reported Statewide,","Total Cases Reported Statewide,","Total Cases Reported Statewide,",
,,,,,,,,,,,,,Regions,Regions,,,,,January through August,January through August,January through August,January through August,January through August,
,Disease,,,,,,State,NW,NW,,N,,SW,SW,C,E,,This Year,This Year,This Year,Last Year,Last Year,Last Year,5 Yr Avg
AIDS,,,,,,,9 5,,1 6,,2 4,2 4,2,2,3 7,1 6,,,5 5 8,,6 3 0,6 3 0,,7 5 1
Campylobacteriosis,Campylobacteriosis,Campylobacteriosis,Campylobacteriosis,Campylobacteriosis,,,7 0,,2 0,,1 0,1 0,1 0,1 0,1 4,1 6,,,4 3 7,,4 5 2,4 5 2,,4 5 4
E. coli O157:H7,E. coli O157:H7,E. coli O157:H7,,,,,10,,2,,5,5,0,0,1,2,,,4 5,,,5 1,,4 0
Giardiasis,Giardiasis,,,,,,6 2,,1 2,,2 3,2 3,6,6,1 0,11,,,2 6 1,,2 5 2,2 5 2,,2 1 9
Gonorrhea,Gonorrhea,,,,,,7 4 0,,2 7,,5 9,5 9,5 2,5 2,3 0 1,3 0 1,,,6 3 4 2,,5 5 2 0,5 5 2 0,,6 5 3 1
Hepatitis A,Hepatitis A,,,,,,6,,1,,3,3,,1,0,1,,,1 0 3,,1 5 3,1 5 3,,1 3 0
,"B, acute","B, acute","B, acute",,,,5,,1,,,1,,1,0,2,,,6 3,,,7 2,,8 2
,"C/NANB, acute","C/NANB, acute","C/NANB, acute","C/NANB, acute",,,0,,0,,0,0,0,0,0,0,,,10,,,1 0,,1 3
HIV Infection,HIV Infection,HIV Infection,,,,,10 9,,9,,2 3,2 3,2,2,6 0,1 5,,,5 4 5,,5 7 9,5 7 9,,6 7 5
Lead in Children†,Lead in Children†,Lead in Children†,Lead in Children†,,,,5 7,,4,,6,6,9,9,2 3,1 5,,,2 5 7,,3 7 9,3 7 9,,4 4 5
Legionellosis,Legionellosis,Legionellosis,,,,,1,,0,,0,0,0,0,0,1,,,1 7,,,1 6,,1 3
Lyme Disease,Lyme Disease,Lyme Disease,,,,,2 8,,4,,1 7,1 7,,1,3,3,,,7 6,,,4 3,,5 0
Measles,Measles,,,,,,0,,0,,0,0,0,0,0,0,,,3,,,2,,1
Meningococcal Infection,Meningococcal Infection,Meningococcal Infection,Meningococcal Infection,Meningococcal Infection,Meningococcal Infection,,3,,0,,,1,0,0,0,2,,,3 5,,,2 6,,4 1
Mumps,Mumps,,,,,,0,,0,,0,0,0,0,0,0,,,8,,,5,,15
Pertussis,Pertussis,,,,,,0,,0,,0,0,0,0,0,0,,,13,,,1 0,,2 4
Rabies in Animals,Rabies in Animals,Rabies in Animals,Rabies in Animals,,,,4 0,,1 5,,11,11,6,6,5,3,,,3 4 4,,3 9 6,3 9 6,,3 4 6
Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever,4,,1,,,1,,1,1,0,,,4,,,8,,1 5
Rubella,Rubella,,,,,,0,,0,,0,0,0,0,0,0,,,0,,,0,,1
Salmonellosis,Salmonellosis,Salmonellosis,,,,,1 8 9,,2 1,,4 7,4 7,3 3,3 3,4 8,4 0,,,8 5 1,,6 5 0,6 5 0,,6 7 0
Shigellosis,Shigellosis,,,,,,17,,2,,1 2,1 2,,1,1,1,,,7 5,,1 2 8,1 2 8,,3 1 8
"Syphilis, Early §","Syphilis, Early §","Syphilis, Early §",,,,,4 7,,0,,4,4,2 2,2 2,6,1 5,,,2 7 1,,2 8 6,2 8 6,,6 14
Tuberculosis,Tuberculosis,Tuberculosis,,,,,3 0,,1,,1 2,1 2,3,3,9,5,,,1 8 6,,1 8 8,1 8 8,,2 1 6
